Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2004-06-23,LT,EQ,2.0,500.0,745.0,150.0,638.0,635.95,627.71,2699293,1.69437184605e+14,,395612,0.1466
2004-06-24,LT,EQ,635.95,630.0,630.0,608.4,612.0,616.0,618.21,913575,5.6478019835e+13,,305751,0.3347
2004-06-25,LT,EQ,616.0,619.0,679.0,616.1,665.0,668.3,658.45,1637383,1.07813620085e+14,,217950,0.1331
2004-06-28,LT,EQ,668.3,660.0,671.9,640.2,653.0,656.4,657.39,913349,6.004270774e+13,,194984,0.2135
2004-06-29,LT,EQ,656.4,656.0,683.4,653.0,666.85,671.7,675.11,743063,5.016487863e+13,,101786,0.137
2004-06-30,LT,EQ,671.7,672.0,700.0,670.0,697.85,695.15,690.66,722230,4.9881792325e+13,,149425,0.2069
2004-07-01,LT,EQ,695.15,702.0,765.0,690.1,764.0,745.2,726.59,1582574,1.14988349505e+14,,185737,0.1174
2004-07-02,LT,EQ,745.2,745.0,780.0,724.65,727.0,730.5,753.03,2988945,2.25076076215e+14,,268657,0.0899
2004-07-05,LT,EQ,730.5,728.2,743.5,711.1,714.0,719.05,726.0,1272188,9.236101464e+13,,130172,0.1023
2004-07-06,LT,EQ,719.05,721.8,738.0,715.3,727.9,729.6,726.59,1081518,7.858223842e+13,,238350,0.2204
2004-07-07,LT,EQ,729.6,733.0,739.0,725.2,726.3,727.7,733.01,603840,4.4261787225e+13,,143884,0.2383
2004-07-08,LT,EQ,727.7,730.0,742.0,695.7,710.0,711.95,728.55,582272,4.2421530605e+13,,127203,0.2185
2004-07-09,LT,EQ,711.95,695.0,748.0,625.0,744.0,744.75,730.56,564885,4.126802434e+13,,121476,0.215
2004-07-12,LT,EQ,744.75,744.0,752.0,717.5,720.0,724.25,732.69,344052,2.520842812e+13,,97407,0.2831
2004-07-13,LT,EQ,724.25,727.7,739.9,720.0,737.9,731.15,728.34,236313,1.7211603015e+13,,56616,0.2396
2004-07-14,LT,EQ,731.15,738.0,740.0,712.15,716.75,716.8,725.46,268530,1.94806649e+13,,127144,0.4735
2004-07-15,LT,EQ,716.8,725.0,732.0,715.0,726.0,724.4,724.59,203453,1.4741934575e+13,,35748,0.1757
2004-07-16,LT,EQ,724.4,727.8,763.9,727.0,754.9,755.95,752.54,820709,6.1761638625e+13,,220221,0.2683
2004-07-19,LT,EQ,755.95,758.8,777.0,748.0,764.0,765.15,765.87,776088,5.9438595635e+13,,202984,0.2615
2004-07-20,LT,EQ,765.15,762.0,799.0,756.0,791.15,792.8,783.49,1624418,1.2727162782e+14,,239247,0.1473
2004-07-21,LT,EQ,792.8,795.0,806.2,776.15,785.0,796.3,798.03,1116756,8.9120508205e+13,,227763,0.204
2004-07-22,LT,EQ,796.3,794.8,806.7,775.25,781.0,784.2,795.51,674330,5.3643787135e+13,,195573,0.29
2004-07-23,LT,EQ,784.2,784.0,789.0,765.2,778.0,775.65,773.5,566045,4.3783348195e+13,,234804,0.4148
2004-07-26,LT,EQ,775.65,760.0,783.7,755.0,776.3,774.9,772.17,678799,5.241469467e+13,,198611,0.2926
2004-07-27,LT,EQ,774.9,779.95,797.0,755.2,791.3,790.45,787.18,402026,3.164671644e+13,,106191,0.2641
2004-07-28,LT,EQ,790.45,805.0,835.0,770.0,771.0,771.7,780.84,341758,2.6685870025e+13,,146120,0.4276
2004-07-29,LT,EQ,771.7,775.0,783.1,772.2,777.5,776.75,777.19,289202,2.2476404595e+13,,174501,0.6034
2004-07-30,LT,EQ,776.75,783.0,789.7,768.85,775.0,774.7,780.97,348355,2.7205513615e+13,,191902,0.5509
2004-08-02,LT,EQ,774.7,781.5,784.9,750.5,760.1,760.05,765.67,433862,3.321960323e+13,,136258,0.3141
2004-08-03,LT,EQ,760.05,764.0,776.0,762.5,772.25,768.6,769.84,342187,2.6342774495e+13,,108880,0.3182
2004-08-04,LT,EQ,768.6,768.0,804.0,766.0,800.1,798.1,789.66,704854,5.5659567305e+13,,169241,0.2401
2004-08-05,LT,EQ,798.1,783.0,814.5,783.0,808.0,810.65,803.07,629650,5.056509261e+13,,172366,0.2737
2004-08-06,LT,EQ,810.65,822.4,822.4,797.25,804.0,808.2,806.94,609738,4.9202211565e+13,,136044,0.2231
2004-08-09,LT,EQ,808.2,800.0,822.0,800.0,807.0,811.0,813.9,446352,3.63286791e+13,,103559,0.232
2004-08-10,LT,EQ,811.0,812.0,816.9,801.2,802.0,805.6,810.41,195698,1.5859637275e+13,,50741,0.2593
2004-08-11,LT,EQ,805.6,805.95,812.0,765.0,775.0,774.35,790.56,280902,2.2206936865e+13,,80698,0.2873
2004-08-12,LT,EQ,774.35,780.0,795.0,768.05,774.55,773.15,782.82,392416,3.0719096075e+13,,79476,0.2025
2004-08-13,LT,EQ,773.15,782.0,782.9,761.65,765.0,766.35,772.64,318820,2.463340739e+13,,59506,0.1866
2004-08-16,LT,EQ,766.35,772.5,782.05,760.1,781.8,779.7,773.11,366137,2.8306301785e+13,,82677,0.2258
2004-08-17,LT,EQ,779.7,777.0,792.4,777.0,788.05,786.55,786.45,188220,1.480255455e+13,,39502,0.2099
2004-08-18,LT,EQ,786.55,787.0,787.0,770.0,772.0,772.45,777.25,83479,6.488430955e+12,,16227,0.1944
2004-08-19,LT,EQ,772.45,774.9,811.0,774.9,810.1,809.4,801.84,650739,5.2179085175e+13,,178199,0.2738
2004-08-20,LT,EQ,809.4,815.0,815.0,792.3,796.8,797.9,800.92,292966,2.3464328325e+13,,21054,0.0719
2004-08-23,LT,EQ,797.9,804.9,809.9,787.0,802.5,801.0,798.57,418188,3.339533825e+13,,103927,0.2485
2004-08-24,LT,EQ,801.0,804.7,828.9,802.0,825.2,825.05,821.06,774656,6.3603583985e+13,,180013,0.2324
2004-08-25,LT,EQ,825.05,829.0,839.7,820.0,831.7,834.6,829.58,404841,3.358487375e+13,,69903,0.1727
2004-08-26,LT,EQ,834.6,845.0,845.0,807.25,812.0,812.95,819.75,379057,3.107336487e+13,,163715,0.4319
2004-08-27,LT,EQ,812.95,816.0,824.85,812.0,818.8,817.15,819.1,204800,1.6775141165e+13,,35304,0.1724
2004-08-30,LT,EQ,817.15,830.0,830.0,815.1,820.15,820.55,822.01,151567,1.2458987405e+13,,30091,0.1985
2004-08-31,LT,EQ,820.55,824.4,835.0,817.0,834.1,833.15,826.94,222351,1.8387038965e+13,,59014,0.2654
2004-09-01,LT,EQ,833.15,821.05,879.5,800.0,876.0,874.0,861.94,1104602,9.520959786e+13,,228570,0.2069
2004-09-02,LT,EQ,874.0,865.0,898.3,855.1,856.5,860.15,878.38,1182700,1.03885842305e+14,,261786,0.2213
2004-09-03,LT,EQ,860.15,858.0,875.85,850.0,860.0,860.6,863.12,802113,6.923233333e+13,,154593,0.1927
2004-09-06,LT,EQ,860.6,867.0,876.0,853.3,855.0,855.15,863.09,494799,4.270575062e+13,,77670,0.157
2004-09-07,LT,EQ,855.15,864.0,868.0,852.2,857.15,856.35,858.8,348205,2.990387284e+13,,80885,0.2323
2004-09-08,LT,EQ,856.35,865.7,865.7,848.9,854.5,853.85,856.28,296994,2.5431124535e+13,,51327,0.1728
2004-09-09,LT,EQ,853.85,860.0,864.0,845.0,850.95,848.3,854.14,412212,3.5208832925e+13,,115685,0.2806
2004-09-10,LT,EQ,848.3,853.7,853.7,844.0,849.9,849.6,848.51,278116,2.3598522455e+13,,86491,0.311
2004-09-13,LT,EQ,849.6,850.0,850.0,837.1,840.2,840.75,841.82,597616,5.030845725e+13,,286450,0.4793
2004-09-14,LT,EQ,840.75,835.0,852.7,826.1,846.6,844.4,835.6,663387,5.543264393e+13,,224532,0.3385
2004-09-15,LT,EQ,844.4,850.0,855.0,831.35,835.15,839.2,845.12,439092,3.7108426815e+13,,172055,0.3918
2004-09-16,LT,EQ,839.2,839.0,849.5,836.0,845.0,846.5,842.68,240005,2.022478329e+13,,79488,0.3312
2004-09-17,LT,EQ,846.5,848.8,867.9,842.0,852.5,854.05,858.22,390731,3.3533349255e+13,,81866,0.2095
2004-09-20,LT,EQ,854.05,856.5,865.0,855.0,862.0,861.1,860.44,192360,1.6551376265e+13,,60134,0.3126
2004-09-21,LT,EQ,861.1,867.0,867.0,850.0,858.0,855.25,857.05,187594,1.607781547e+13,,58353,0.3111
2004-09-22,LT,EQ,855.25,863.9,882.0,857.15,875.0,871.65,871.95,455208,3.9691653435e+13,,111737,0.2455
2004-09-23,LT,EQ,871.65,865.0,880.0,850.15,857.0,857.9,869.07,204766,1.7795672215e+13,,32849,0.1604
2004-09-24,LT,EQ,857.9,870.0,877.85,862.0,877.0,874.55,870.15,291144,2.5333989165e+13,,137218,0.4713
2004-09-27,LT,EQ,874.55,884.9,890.0,870.15,872.0,874.4,880.69,428880,3.777098182e+13,,117037,0.2729
2004-09-28,LT,EQ,874.4,880.0,880.0,849.15,849.15,857.6,866.25,234660,2.032751905e+13,,83770,0.357
2004-09-29,LT,EQ,857.6,855.0,865.0,848.6,852.0,850.75,855.79,221933,1.89929003e+13,,67939,0.3061
2004-09-30,LT,EQ,850.75,858.0,863.0,852.0,855.0,855.85,856.81,156371,1.3397963805e+13,,70347,0.4499
2004-10-01,LT,EQ,855.85,857.0,879.0,857.0,873.05,875.25,870.01,247901,2.156767912e+13,,104752,0.4226
2004-10-04,LT,EQ,875.25,880.0,894.85,871.25,874.0,877.15,881.42,231803,2.043159538e+13,,119275,0.5146
2004-10-05,LT,EQ,877.15,875.0,881.0,860.1,865.0,862.45,867.74,164121,1.4241479405e+13,,66251,0.4037
2004-10-06,LT,EQ,862.45,869.0,874.0,845.0,848.0,847.6,855.34,240900,2.060513134e+13,,107479,0.4462
2004-10-07,LT,EQ,847.6,855.0,859.0,841.5,849.0,848.75,849.43,281421,2.390475046e+13,,111956,0.3978
2004-10-08,LT,EQ,848.75,849.8,853.0,840.0,841.0,842.15,845.61,280669,2.3733658085e+13,,194785,0.694
2004-10-09,LT,EQ,842.15,850.0,855.5,841.0,844.5,844.4,847.8,84456,7.160176825e+12,,14790,0.1751
2004-10-11,LT,EQ,844.4,854.9,854.9,845.0,850.0,847.1,849.23,144305,1.2254813305e+13,,83998,0.5821
2004-10-12,LT,EQ,847.1,850.0,850.0,835.0,840.5,836.2,839.11,117197,9.834161115e+12,,60853,0.5192
2004-10-14,LT,EQ,836.2,843.9,860.0,839.0,850.0,853.25,848.6,226247,1.919927994e+13,,131478,0.5811
2004-10-15,LT,EQ,853.25,857.8,873.5,838.0,841.8,841.0,858.02,443349,3.8040181845e+13,,184610,0.4164
2004-10-18,LT,EQ,841.0,847.0,850.0,835.25,840.0,838.0,840.74,179499,1.5091201415e+13,,74947,0.4175
2004-10-19,LT,EQ,838.0,844.8,846.5,836.1,846.0,842.75,841.34,241331,2.030416989e+13,,155586,0.6447
2004-10-20,LT,EQ,842.75,846.5,846.5,836.0,842.1,838.45,840.73,96848,8.142349215e+12,,49296,0.509
2004-10-21,LT,EQ,838.45,838.0,838.0,816.35,821.0,820.75,822.52,388309,3.193929771e+13,,210330,0.5417
2004-10-25,LT,EQ,820.75,824.7,836.8,812.5,829.5,830.35,824.47,417347,3.440904169e+13,,101116,0.2423
2004-10-26,LT,EQ,830.35,835.0,835.0,795.0,804.0,804.3,805.68,736027,5.9300060085e+13,,390948,0.5312
2004-10-27,LT,EQ,804.3,809.8,818.45,790.35,791.0,795.55,803.77,245495,1.973226035e+13,,104313,0.4249
2004-10-28,LT,EQ,795.55,799.75,821.5,798.0,810.0,810.35,810.46,281507,2.2815145515e+13,,126729,0.4502
2004-10-29,LT,EQ,810.35,817.45,835.5,805.0,830.5,830.25,820.15,213235,1.748840295e+13,,67385,0.316
2004-11-01,LT,EQ,830.25,827.0,836.35,816.0,834.0,833.95,828.2,161253,1.3355039885e+13,,63413,0.3933
2004-11-02,LT,EQ,833.95,839.85,839.85,816.3,818.0,820.65,822.78,243763,2.0056241085e+13,,145899,0.5985
2004-11-03,LT,EQ,820.65,822.0,832.0,821.0,832.0,831.2,829.51,159689,1.324638153e+13,,102654,0.6428
2004-11-04,LT,EQ,831.2,831.0,834.8,822.0,827.0,825.05,826.47,89865,7.42709531e+12,,48225,0.5366
2004-11-05,LT,EQ,825.05,827.0,847.0,825.0,839.0,842.2,837.76,160724,1.3464743415e+13,,73860,0.4595
2004-11-08,LT,EQ,842.2,843.0,860.0,840.0,852.0,851.85,853.38,242025,2.06538939e+13,,157284,0.6499
2004-11-09,LT,EQ,851.85,846.0,858.0,840.25,858.0,854.15,851.8,237027,2.018985023e+13,,178435,0.7528
2004-11-10,LT,EQ,854.15,860.0,860.0,844.55,851.1,852.25,851.66,160185,1.3642295925e+13,,110218,0.6881
2004-11-11,LT,EQ,852.25,856.0,860.0,840.0,858.0,855.45,852.39,213185,1.817170124e+13,,106182,0.4981
2004-11-12,LT,EQ,855.45,859.9,869.0,856.0,857.0,858.35,858.7,53701,4.61130816e+12,,34006,0.6332
2004-11-16,LT,EQ,858.35,859.0,872.45,854.2,861.0,858.8,864.58,303791,2.6265200395e+13,,151276,0.498
2004-11-17,LT,EQ,858.8,841.05,867.0,841.05,852.0,848.5,854.27,162618,1.3891904595e+13,,96813,0.5953
2004-11-18,LT,EQ,848.5,856.0,865.0,849.0,861.0,861.05,855.95,106381,9.105641275e+12,,57670,0.5421
2004-11-19,LT,EQ,861.05,866.85,866.85,844.0,846.5,848.6,850.59,131811,1.1211646385e+13,,78955,0.599
2004-11-22,LT,EQ,848.6,859.7,859.7,831.35,847.7,846.35,843.98,52015,4.389964395e+12,,20026,0.385
2004-11-23,LT,EQ,846.35,850.0,854.95,838.1,853.05,850.7,847.26,129543,1.0975619215e+13,,78966,0.6096
2004-11-24,LT,EQ,850.7,854.35,864.3,845.05,863.0,860.85,853.82,154683,1.32070709e+13,,113750,0.7354
2004-11-25,LT,EQ,860.85,861.0,878.0,857.0,875.0,875.4,870.89,267647,2.3308989415e+13,,187889,0.702
2004-11-29,LT,EQ,875.4,870.0,887.0,854.0,882.0,880.75,875.95,261303,2.288892433e+13,,156571,0.5992
2004-11-30,LT,EQ,880.75,886.0,913.7,871.0,902.0,903.9,897.78,517005,4.641591965e+13,,287844,0.5568
2004-12-01,LT,EQ,903.9,900.2,936.9,890.15,918.05,922.5,916.63,725464,6.649786744e+13,,298154,0.411
2004-12-02,LT,EQ,922.5,920.0,984.0,920.0,945.0,954.05,965.1,1002971,9.679652843e+13,,563397,0.5617
