Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2003-07-09,MARUTI,EQ,125.0,164.9,170.4,155.0,164.0,164.3,165.95,35164283,5.83552816185e+14,,8537695.0,0.2428
2003-07-10,MARUTI,EQ,164.3,167.0,168.7,164.5,167.0,167.0,166.74,10464179,1.7448196212e+14,,4363947.0,0.417
2003-07-11,MARUTI,EQ,167.0,167.75,174.85,166.25,173.6,173.35,172.45,11740117,2.02462154745e+14,,3014852.0,0.2568
2003-07-14,MARUTI,EQ,173.35,174.25,179.25,174.25,178.6,177.95,177.91,5982324,1.0643131003e+14,,1949217.0,0.3258
2003-07-15,MARUTI,EQ,177.95,200.0,200.0,173.0,176.3,176.2,176.88,6173689,1.0920007904e+14,,1307694.0,0.2118
2003-07-16,MARUTI,EQ,176.2,176.45,179.1,175.35,176.9,177.1,177.59,3759085,6.675695031e+13,,1155442.0,0.3074
2003-07-17,MARUTI,EQ,177.1,177.5,178.0,170.65,170.7,172.2,175.48,3814181,6.693029687e+13,,1064071.0,0.279
2003-07-18,MARUTI,EQ,172.2,165.0,171.9,160.0,167.4,167.4,167.66,5375212,9.0119032225e+13,,1427995.0,0.2657
2003-07-21,MARUTI,EQ,167.4,169.0,169.4,163.05,164.0,164.9,166.67,3315845,5.5266461655e+13,,980379.0,0.2957
2003-07-22,MARUTI,EQ,164.9,164.0,169.15,162.1,168.6,167.25,165.06,4627992,7.6391242225e+13,,1257167.0,0.2716
2003-07-23,MARUTI,EQ,167.25,170.5,178.0,169.8,175.55,174.7,174.54,13262249,2.31475895185e+14,,2844659.0,0.2145
2003-07-24,MARUTI,EQ,174.7,175.9,177.0,172.85,173.65,174.1,174.45,4305936,7.5115291565e+13,,978929.0,0.2273
2003-07-25,MARUTI,EQ,174.1,174.4,175.0,172.1,174.0,173.65,173.66,2832967,4.919603684e+13,,660197.0,0.233
2003-07-28,MARUTI,EQ,173.65,188.0,188.0,175.1,179.25,178.85,178.01,5415867,9.640853395e+13,,1588110.0,0.2932
