Date,HDFC-EQ O,HDFC-EQ H,HDFC-EQ L,HDFC-EQ C,HDFC-EQ V
21-07-2017 15:25,1646.85,1648,1640.1,1642.45,60700
21-07-2017 15:20,1643.55,1648,1642.5,1646.55,96447
21-07-2017 15:15,1639.45,1643.8,1638.25,1643.65,95275
21-07-2017 15:10,1638.4,1640.85,1637.6,1639.5,76628
21-07-2017 15:05,1637.6,1638.6,1635.25,1638.45,89957
21-07-2017 15:00,1637.45,1640.4,1636.3,1637.55,102794
21-07-2017 14:55,1639.7,1641,1636,1637.45,55999
21-07-2017 14:50,1639,1640.5,1639,1639.6,38715
21-07-2017 14:45,1640,1640,1637.55,1639,39699
21-07-2017 14:40,1641.9,1641.95,1638,1640,34429
21-07-2017 14:35,1640,1642,1637.15,1641.95,40541
21-07-2017 14:30,1637,1640,1635.45,1639.85,34014
21-07-2017 14:25,1635.8,1637.45,1635,1637,19829
21-07-2017 14:20,1637,1638,1635.1,1635.85,33854
21-07-2017 14:15,1632,1636.75,1631.8,1636.2,46636
21-07-2017 14:10,1633.65,1635.4,1631.9,1632,17077
21-07-2017 14:05,1635.4,1635.4,1632,1633.65,16275
21-07-2017 14:00,1634.15,1636.95,1633.4,1635.5,17219
21-07-2017 13:55,1630.9,1634.9,1630.8,1634.15,17501
21-07-2017 13:50,1634.1,1634.95,1630.75,1630.9,17915
21-07-2017 13:45,1636.8,1636.8,1633,1634.1,17596
21-07-2017 13:40,1637.5,1640,1636,1636.8,24037
21-07-2017 13:35,1635.7,1640,1635.1,1637.5,14226
21-07-2017 13:30,1636.2,1638.2,1634.25,1635.8,14774
21-07-2017 13:25,1636.55,1637.2,1635.25,1636.2,8666
21-07-2017 13:20,1635.2,1637.75,1635.15,1636.6,16439
21-07-2017 13:15,1635.25,1636.85,1633.05,1635.2,13721
21-07-2017 13:10,1633.5,1636.4,1633.5,1635.3,14052
21-07-2017 13:05,1631.5,1636.2,1630.85,1633.55,16758
21-07-2017 13:00,1638.15,1639.5,1627.3,1631.15,91359
21-07-2017 12:55,1643.2,1643.2,1635.25,1638.25,165561
21-07-2017 12:50,1644,1644.95,1642.5,1643.4,13024
21-07-2017 12:45,1644.7,1645.9,1643.05,1644,10961
21-07-2017 12:40,1643.5,1644.9,1642.3,1644.75,17206
21-07-2017 12:35,1645.6,1646,1643.4,1643.5,26930
21-07-2017 12:30,1648.05,1648.1,1645.2,1645.6,28863
21-07-2017 12:25,1649.75,1649.85,1648,1648.1,17401
21-07-2017 12:20,1647,1653,1647,1649.85,112892
21-07-2017 12:15,1645.65,1647.7,1645.5,1647.5,22211
21-07-2017 12:10,1644.95,1646.95,1644.95,1645.65,20608
21-07-2017 12:05,1646.45,1647,1644.3,1645,18040
21-07-2017 12:00,1644.6,1646.9,1644.15,1646.55,21637
21-07-2017 11:55,1646.1,1646.15,1644.15,1644.8,23618
21-07-2017 11:50,1647.45,1647.5,1645.25,1646.1,17926
21-07-2017 11:45,1649.5,1649.55,1647.45,1647.5,13150
21-07-2017 11:40,1650.05,1650.2,1649,1649.5,16157
