Date,HDFCBANK-EQ O,HDFCBANK-EQ H,HDFCBANK-EQ L,HDFCBANK-EQ C,HDFCBANK-EQ V
21-07-2017 15:25,1702.25,1705.3,1701.1,1703.25,36005
21-07-2017 15:20,1702.15,1703.5,1702,1702.3,27647
21-07-2017 15:15,1703.85,1704,1701.75,1702.1,27496
21-07-2017 15:10,1703.5,1704.6,1701.75,1703.85,35017
21-07-2017 15:05,1701.95,1704.8,1701.95,1703.5,37031
21-07-2017 15:00,1706.95,1706.95,1701.4,1702,34048
21-07-2017 14:55,1706.65,1707.8,1705.55,1706.95,8791
21-07-2017 14:50,1707.2,1708,1706,1706.7,12673
21-07-2017 14:45,1707.5,1707.7,1705.7,1706.15,15645
21-07-2017 14:40,1709.1,1709.55,1706.35,1707.45,13437
21-07-2017 14:35,1708,1709.65,1706.1,1709.1,7390
21-07-2017 14:30,1708.5,1709.9,1707,1708,10396
21-07-2017 14:25,1711.45,1711.95,1707,1708.7,16355
21-07-2017 14:20,1710.8,1712,1709.85,1711.95,19193
21-07-2017 14:15,1709.95,1711,1709.5,1710,13286
21-07-2017 14:10,1710.9,1711,1709.1,1709.4,6316
21-07-2017 14:05,1709.65,1710.85,1709.55,1709.85,6111
21-07-2017 14:00,1711.15,1711.25,1709.65,1709.65,10602
21-07-2017 13:55,1709.5,1711.5,1709.2,1710.85,6301
21-07-2017 13:50,1708.1,1709.9,1708.1,1709.5,14709
21-07-2017 13:45,1711,1711,1708.05,1708.1,15231
21-07-2017 13:40,1710,1712.55,1710,1711,20768
21-07-2017 13:35,1709.5,1710,1709.1,1710,12267
21-07-2017 13:30,1709.9,1709.95,1709,1709.5,8067
21-07-2017 13:25,1709.5,1709.9,1708.45,1709.9,8177
21-07-2017 13:20,1708.85,1709.9,1708.3,1709.5,7018
21-07-2017 13:15,1707.35,1708.95,1703.55,1708.85,41928
21-07-2017 13:10,1705.45,1709.75,1705.45,1707.5,16076
21-07-2017 13:05,1706.8,1707.2,1702.75,1705.45,25201
21-07-2017 13:00,1713,1713,1706.35,1707.75,28905
21-07-2017 12:55,1712,1713.7,1712,1713,6989
21-07-2017 12:50,1712,1712.95,1711,1712,18975
21-07-2017 12:45,1712.3,1713.3,1710.5,1712,9285
21-07-2017 12:40,1712,1714.05,1708.5,1712.25,43465
21-07-2017 12:35,1711,1712.9,1710.3,1712,7337
21-07-2017 12:30,1711,1711.8,1710.3,1711,1756
21-07-2017 12:25,1710,1711.75,1710,1711,3094
21-07-2017 12:20,1711.45,1711.75,1709.8,1710,5410
21-07-2017 12:15,1711.5,1711.8,1710.55,1711.45,3973
21-07-2017 12:10,1711.4,1711.95,1710.55,1711.5,3576
21-07-2017 12:05,1711.75,1712,1710,1711.1,3487
21-07-2017 12:00,1708.8,1711.9,1708.8,1711.75,4945
21-07-2017 11:55,1709.9,1710.7,1708.8,1708.8,5048
21-07-2017 11:50,1710.5,1710.9,1708.8,1709.9,8049
21-07-2017 11:45,1709.7,1710.9,1709.3,1710.5,3908
21-07-2017 11:40,1710,1711.15,1709.45,1709.95,4731
21-07-2017 11:35,1710,1710.3,1709.1,1710,3003
21-07-2017 11:30,1709.95,1710.3,1708.75,1710,4013
21-07-2017 11:25,1710.3,1710.5,1708.65,1709.95,5200
21-07-2017 11:20,1709.8,1710.5,1709.25,1710.3,8480
21-07-2017 11:15,1710.45,1710.45,1708,1709.8,8841
21-07-2017 11:10,1709,1710.7,1708.05,1710.45,5065
21-07-2017 11:05,1707.05,1709.4,1707,1709,3899
21-07-2017 11:00,1708.85,1709.2,1706.75,1707.05,5267
21-07-2017 10:55,1709,1710,1708.5,1708.85,2536
21-07-2017 10:50,1713.4,1713.8,1707.3,1709,28149
21-07-2017 10:45,1710,1713.8,1709.65,1713,40991
21-07-2017 10:40,1710.25,1711,1709.8,1710,8968
21-07-2017 10:35,1711,1711,1710.1,1710.25,3305
21-07-2017 10:30,1711.5,1712,1710.6,1711,3037
21-07-2017 10:25,1712.25,1713.1,1710.5,1711.5,5519
21-07-2017 10:20,1711.5,1712.7,1710.5,1712.25,7003
21-07-2017 10:15,1713,1713.7,1711.05,1711.5,6251
21-07-2017 10:10,1714.25,1714.3,1712,1713,6656
21-07-2017 10:05,1713.95,1714.25,1712,1714.25,8919
21-07-2017 10:00,1713,1715,1713,1714.2,10743
21-07-2017 09:55,1712,1713.25,1711.5,1713.25,9296
21-07-2017 09:50,1710,1712.4,1709.75,1712,18743
21-07-2017 09:45,1710,1710.5,1709.5,1710,9157
21-07-2017 09:40,1710.5,1710.6,1709.95,1709.95,11989
21-07-2017 09:35,1709.6,1710.5,1709.55,1710.5,10169
21-07-2017 09:30,1708,1710.55,1707.55,1710,9691
21-07-2017 09:25,1710.05,1710.95,1707.45,1708,9032
21-07-2017 09:20,1708.25,1711.3,1706.1,1711.1,11996
21-07-2017 09:15,1714.05,1715.25,1707.1,1708.25,23574
20-07-2017 15:25,1713,1714.9,1711.05,1712,18153
20-07-2017 15:20,1714,1714.5,1710.95,1713,33046
20-07-2017 15:15,1710,1715,1710,1713.6,34115
20-07-2017 15:10,1709.3,1710.75,1708.5,1709.8,48608
20-07-2017 15:05,1706.65,1709.5,1706.65,1708.65,17034
20-07-2017 15:00,1708.8,1709.5,1706.05,1707.5,22302
20-07-2017 14:55,1709.55,1710,1707.65,1708.65,25003
20-07-2017 14:50,1709,1709.9,1707.4,1709.7,17940
20-07-2017 14:45,1707.5,1709.8,1707.45,1709,25974
20-07-2017 14:40,1705.15,1707.65,1704.15,1707.45,21515
20-07-2017 14:35,1706.9,1707.95,1705.2,1705.25,26318
20-07-2017 14:30,1704.95,1706.95,1704.05,1706.9,20379
20-07-2017 14:25,1704.45,1705,1703.65,1704.95,23941
20-07-2017 14:20,1704.9,1705,1703.55,1704.5,14680
20-07-2017 14:15,1703.95,1705,1701.95,1704.9,27468
20-07-2017 14:10,1701.75,1703.95,1701.5,1703.9,18024
20-07-2017 14:05,1701.95,1702.75,1700.7,1702.75,14161
20-07-2017 14:00,1701.35,1702.55,1699,1701.95,16918
20-07-2017 13:55,1702,1702.9,1700.25,1701.35,10450
20-07-2017 13:50,1701.55,1703,1700.75,1702,10633
20-07-2017 13:45,1700.05,1702.7,1700.05,1701.55,14424
20-07-2017 13:40,1699.7,1700.95,1698.6,1700.05,10059
20-07-2017 13:35,1700,1700.25,1698.5,1699.7,9455
20-07-2017 13:30,1699,1700.8,1698.55,1700,31290
20-07-2017 13:25,1699,1699,1697,1699,9802
20-07-2017 13:20,1697,1699,1696.55,1698.95,10066
20-07-2017 13:15,1697.5,1698.5,1696.7,1697,9026
20-07-2017 13:10,1696.4,1697.9,1696.4,1697.5,7975
20-07-2017 13:05,1694.75,1696.4,1694.3,1695.75,5951
20-07-2017 13:00,1693,1694.95,1692.7,1694.7,9576
20-07-2017 12:55,1692.25,1693,1692.25,1693,5137
20-07-2017 12:50,1693.8,1694.55,1692.2,1692.5,5140
20-07-2017 12:45,1694.95,1695.3,1692.35,1693.8,18039
20-07-2017 12:40,1695.4,1695.4,1694,1694.95,3839
20-07-2017 12:35,1694.45,1695.4,1694,1695.4,4701
20-07-2017 12:30,1695,1695,1693.5,1694.45,6297
20-07-2017 12:25,1695,1695,1693.9,1694.75,5075
20-07-2017 12:20,1695,1695.35,1693.65,1695,6341
20-07-2017 12:15,1695.1,1695.35,1694.65,1694.85,6136
20-07-2017 12:10,1695.5,1695.95,1694.5,1695.1,8729
20-07-2017 12:05,1695.85,1696,1695.25,1695.5,4252
20-07-2017 12:00,1695.35,1695.75,1695,1695.75,4794
20-07-2017 11:55,1695,1695.4,1694.3,1695.35,3121
20-07-2017 11:50,1694.9,1695,1693.55,1694.35,5884
20-07-2017 11:45,1693.5,1695,1693.45,1694.9,3418
20-07-2017 11:40,1692.95,1694.25,1691.7,1693.5,5096
20-07-2017 11:35,1694.3,1695,1692.5,1692.95,3224
20-07-2017 11:30,1693.95,1695,1693.1,1694.3,6223
20-07-2017 11:25,1692.45,1693.95,1691.5,1693.95,4749
20-07-2017 11:20,1691.7,1692.45,1691,1692.4,4996
20-07-2017 11:15,1694.75,1694.9,1691.3,1691.7,12295
20-07-2017 11:10,1694.8,1695,1693.75,1694.75,6920
20-07-2017 11:05,1695.6,1695.85,1694.1,1694.4,6310
20-07-2017 11:00,1695.2,1696,1694.3,1695.6,13444
20-07-2017 10:55,1695.3,1695.85,1693.2,1695.2,16603
20-07-2017 10:50,1694,1696,1693,1695.3,11301
20-07-2017 10:45,1694.5,1695.35,1693.65,1694,4466
20-07-2017 10:40,1694.4,1695.3,1693.75,1694.5,4056
20-07-2017 10:35,1694.4,1695,1693.5,1694.4,4316
20-07-2017 10:30,1696.3,1696.65,1693.5,1694.4,4472
20-07-2017 10:25,1692,1697.2,1692,1696.2,8492
20-07-2017 10:20,1691.55,1692.6,1691.1,1691.55,3346
20-07-2017 10:15,1691.4,1692.2,1691,1691.55,3160
20-07-2017 10:10,1690,1691.65,1689.3,1691.4,12093
20-07-2017 10:05,1689.8,1690.2,1688.15,1690,14058
20-07-2017 10:00,1692.4,1693.8,1689.25,1689.8,19116
20-07-2017 09:55,1695,1695,1692.2,1692.4,12527
20-07-2017 09:50,1695.95,1696.5,1694.5,1695,9774
20-07-2017 09:45,1696.1,1696.5,1695,1695.95,5765
20-07-2017 09:40,1697.4,1698,1695.15,1696.1,11306
20-07-2017 09:35,1697.75,1698,1697.05,1697.4,5763
20-07-2017 09:30,1698.2,1698.2,1696.5,1698,4405
20-07-2017 09:25,1698.7,1699,1697.25,1698.2,3892
20-07-2017 09:20,1699,1699,1697.6,1698.35,15535
20-07-2017 09:15,1694.85,1704,1694.85,1698.3,30121
19-07-2017 15:25,1692,1692.5,1690.55,1691.4,23171
19-07-2017 15:20,1691.75,1692.75,1691.4,1691.5,24244
19-07-2017 15:15,1691.7,1693,1691.1,1691.75,24319
19-07-2017 15:10,1693.55,1694,1691.05,1691.05,27782
19-07-2017 15:05,1692.7,1694.2,1692.5,1693.55,18351
19-07-2017 15:00,1690.8,1693.7,1690.15,1692.7,45993
19-07-2017 14:55,1695.4,1696.1,1690.1,1690.8,71404
19-07-2017 14:50,1694.05,1695.6,1693.4,1695.5,57809
19-07-2017 14:45,1694.05,1695,1694,1694.05,7286
19-07-2017 14:40,1694,1694.95,1693.25,1694.05,9655
19-07-2017 14:35,1692.5,1694.55,1692.5,1694,21937
19-07-2017 14:30,1692.5,1692.75,1691.15,1692.5,26895
