Date,ICICIBANK-EQ O,ICICIBANK-EQ H,ICICIBANK-EQ L,ICICIBANK-EQ C,ICICIBANK-EQ V
21-07-2017 15:25,302.65,303.65,302.5,302.8,366704
21-07-2017 15:20,302.5,302.8,302.2,302.6,287449
21-07-2017 15:15,301.7,302.7,301.6,302.45,443724
21-07-2017 15:10,301.7,301.85,301.2,301.7,313329
21-07-2017 15:05,301,301.8,301,301.7,236429
21-07-2017 15:00,300.85,301.4,300.8,301.1,247166
21-07-2017 14:55,300.55,301,300.5,300.95,79643
21-07-2017 14:50,301.1,301.1,300.45,300.5,61711
21-07-2017 14:45,301.2,301.35,300.85,301.1,55431
21-07-2017 14:40,301.35,301.4,300.9,301.2,97234
21-07-2017 14:35,300.45,301.5,300.45,301.2,209922
21-07-2017 14:30,300.05,300.5,299.8,300.5,177818
21-07-2017 14:25,299.9,300.15,299.85,300,68416
21-07-2017 14:20,300,300.15,299.65,299.95,132661
21-07-2017 14:15,299.15,300.1,299.05,300,169685
21-07-2017 14:10,298.8,299.2,298.7,299.15,83821
21-07-2017 14:05,299.1,299.2,298.55,298.75,90853
21-07-2017 14:00,298.75,299.3,298.75,299.2,176321
21-07-2017 13:55,298.25,298.95,297.65,298.75,91443
21-07-2017 13:50,298,298.3,297.9,298.25,52547
21-07-2017 13:45,298.25,298.5,297.35,298.05,111673
21-07-2017 13:40,298.25,299.15,298.2,298.25,168736
21-07-2017 13:35,297.9,298.4,297.75,298.25,76815
21-07-2017 13:30,297.8,297.95,297.5,297.9,36440
21-07-2017 13:25,297.8,298,297.6,297.9,49881
21-07-2017 13:20,297.75,297.95,297.5,297.8,46116
21-07-2017 13:15,297.2,297.75,296.9,297.75,79585
21-07-2017 13:10,297.1,297.55,297,297.2,130855
21-07-2017 13:05,296.65,297.3,296.3,297,209207
21-07-2017 13:00,297.4,297.7,296.25,296.4,369647
21-07-2017 12:55,297.8,298.1,297.4,297.5,114350
21-07-2017 12:50,297.75,298,297.75,297.9,51188
21-07-2017 12:45,297.9,298.1,297.15,297.75,392636
21-07-2017 12:40,297.9,298.45,297.9,297.95,306598
21-07-2017 12:35,298.5,298.7,297.5,297.9,406975
21-07-2017 12:30,298.95,299,298.35,298.5,199773
21-07-2017 12:25,299.3,299.5,298.3,299,218201
21-07-2017 12:20,299.5,299.65,299.25,299.3,100960
21-07-2017 12:15,300.4,300.4,299.5,299.5,312738
21-07-2017 12:10,300.4,300.7,300.1,300.4,127100
21-07-2017 12:05,301,301,300.25,300.4,116056
21-07-2017 12:00,301.25,301.25,300.5,301.05,189432
21-07-2017 11:55,301.2,301.35,300.7,301.25,189992
21-07-2017 11:50,301.35,301.4,301.1,301.25,49608
21-07-2017 11:45,301.25,301.75,301.1,301.35,192675
21-07-2017 11:40,301.5,301.55,301.15,301.25,61804
21-07-2017 11:35,301.45,301.5,301.35,301.5,16214
21-07-2017 11:30,301.8,301.8,301.3,301.45,54937
21-07-2017 11:25,301.7,301.8,301.5,301.8,24851
21-07-2017 11:20,301.6,301.75,301.4,301.7,34182
21-07-2017 11:15,301.6,301.7,301.45,301.55,30059
21-07-2017 11:10,301.5,301.75,301.3,301.6,42291
21-07-2017 11:05,301.75,302,301.4,301.45,102749
21-07-2017 11:00,301.55,301.75,301.5,301.75,65485
21-07-2017 10:55,301.5,301.6,301.45,301.55,51953
21-07-2017 10:50,301.2,301.5,301.2,301.5,27393
21-07-2017 10:45,301.1,301.45,301.05,301.2,44406
21-07-2017 10:40,300.95,301.2,300.75,301.1,30604
21-07-2017 10:35,300.8,301.15,300.4,300.95,95720
21-07-2017 10:30,301.25,301.3,300.3,300.8,88337
21-07-2017 10:25,301.1,301.3,301,301.25,39879
21-07-2017 10:20,301.1,301.35,300.7,301.1,72644
21-07-2017 10:15,301.45,301.45,301.05,301.05,55544
21-07-2017 10:10,301.2,301.45,301.05,301.45,69680
21-07-2017 10:05,301.3,301.35,301.05,301.2,38685
21-07-2017 10:00,301,301.4,301,301.3,70639
21-07-2017 09:55,301.05,301.15,301,301.05,27737
21-07-2017 09:50,300.75,301.1,300.55,301.05,50482
21-07-2017 09:45,301,301,300.5,300.75,73720
21-07-2017 09:40,301.25,301.8,300.9,301,108514
21-07-2017 09:35,300.8,301.25,300.5,301.25,56942
21-07-2017 09:30,301.1,301.3,300.55,300.8,64437
21-07-2017 09:25,300.85,301.45,300.75,301.1,100529
21-07-2017 09:20,300.1,300.9,300,300.85,113301
21-07-2017 09:15,299.4,301.3,299.25,300.1,288237
20-07-2017 15:25,300.25,300.9,300.25,300.9,103516
20-07-2017 15:20,300.3,300.5,299.95,300.25,335800
20-07-2017 15:15,300.2,300.65,299.8,300.35,426772
20-07-2017 15:10,301,301,300,300,524262
20-07-2017 15:05,300.9,301,300.75,301,510887
20-07-2017 15:00,301.6,301.8,300.95,301,526690
20-07-2017 14:55,301.6,301.75,301.4,301.6,50074
20-07-2017 14:50,301.85,301.95,301.55,301.7,57212
20-07-2017 14:45,301.85,301.95,301.7,301.85,62133
20-07-2017 14:40,301.55,301.9,301.45,301.85,69001
20-07-2017 14:35,301.4,301.6,301.4,301.55,52679
20-07-2017 14:30,301.55,301.55,301.1,301.4,110742
20-07-2017 14:25,301.45,301.6,301.4,301.55,25502
20-07-2017 14:20,301.5,301.6,301.45,301.45,94311
20-07-2017 14:15,302,302.05,301.45,301.5,91691
20-07-2017 14:10,301.5,302,301.45,302,73337
20-07-2017 14:05,301.65,301.75,301.4,301.5,154735
20-07-2017 14:00,301.85,302.15,301.5,301.65,74978
20-07-2017 13:55,301.55,302.2,301.45,301.85,75224
20-07-2017 13:50,301.65,301.9,301.45,301.5,76193
20-07-2017 13:45,301.85,302,301.6,301.65,27764
20-07-2017 13:40,302,302.05,301.75,301.85,17865
20-07-2017 13:35,302.05,302.05,301.9,301.95,19409
20-07-2017 13:30,301.95,302.2,301.9,302.05,36070
20-07-2017 13:25,301.8,302,301.8,301.95,28400
20-07-2017 13:20,301.6,301.8,301.5,301.8,144372
20-07-2017 13:15,301.9,301.9,301.6,301.65,39568
20-07-2017 13:10,302.15,302.2,301.75,301.9,36776
20-07-2017 13:05,302.2,302.25,302,302.15,65970
20-07-2017 13:00,301.5,302.2,301.5,302.2,55815
20-07-2017 12:55,301.55,301.6,301.3,301.55,88162
20-07-2017 12:50,301.55,301.9,301.5,301.55,36450
20-07-2017 12:45,301.5,301.6,301.5,301.55,14725
20-07-2017 12:40,301.5,301.6,301.45,301.55,21458
20-07-2017 12:35,301.35,301.65,301.3,301.5,66948
20-07-2017 12:30,301.4,301.7,301.35,301.35,26299
20-07-2017 12:25,301.4,301.55,301.15,301.45,99675
20-07-2017 12:20,301.6,301.6,301.1,301.4,153684
20-07-2017 12:15,301.85,301.85,301.5,301.6,65567
20-07-2017 12:10,302.1,302.1,301.6,301.85,66015
20-07-2017 12:05,302.35,302.4,302,302.15,55313
20-07-2017 12:00,302.45,302.45,302.35,302.4,36388
20-07-2017 11:55,302.3,302.5,302.3,302.4,21140
20-07-2017 11:50,302.55,302.55,302.3,302.35,55747
20-07-2017 11:45,302.8,302.85,302.45,302.55,63752
20-07-2017 11:40,302.9,302.9,302.75,302.8,27997
20-07-2017 11:35,302.95,303,302.85,302.9,24286
20-07-2017 11:30,303,303,302.85,302.95,40557
20-07-2017 11:25,303.15,303.15,302.75,303,165794
20-07-2017 11:20,303.6,303.85,303.05,303.1,112349
20-07-2017 11:15,302,303.8,302,303.65,457002
20-07-2017 11:10,301.8,302.3,301.65,302.2,143955
20-07-2017 11:05,301.5,302.15,301.35,301.8,138199
20-07-2017 11:00,301.2,301.55,301.15,301.5,69183
20-07-2017 10:55,301.35,301.5,301.15,301.2,57903
20-07-2017 10:50,301.15,301.45,301.15,301.4,37960
20-07-2017 10:45,301.1,301.4,301,301.2,54189
20-07-2017 10:40,300.8,301.25,300.75,301.05,60031
20-07-2017 10:35,300.75,300.8,300.5,300.8,47604
20-07-2017 10:30,300.65,300.85,300,300.75,225612
20-07-2017 10:25,301.35,301.35,300.05,300.65,331399
20-07-2017 10:20,301.3,301.45,301,301.35,48533
20-07-2017 10:15,301.1,301.35,301,301.3,48362
20-07-2017 10:10,301.7,301.7,301,301.1,119266
20-07-2017 10:05,301.7,301.75,301.55,301.7,54164
20-07-2017 10:00,301.85,301.9,301.4,301.7,83909
20-07-2017 09:55,302.1,302.25,301.8,301.85,51253
20-07-2017 09:50,302.45,302.45,302.1,302.1,56763
20-07-2017 09:45,302.4,302.6,302.2,302.45,127605
20-07-2017 09:40,302.1,302.4,302.05,302.4,151244
20-07-2017 09:35,301.95,302.1,301.6,302.05,144225
20-07-2017 09:30,302.2,302.6,301.75,301.95,163619
20-07-2017 09:25,302.35,302.45,302.1,302.2,87691
20-07-2017 09:20,302.65,303.05,302.05,302.35,174822
20-07-2017 09:15,302,303.3,301.8,302.75,280376
19-07-2017 15:25,302,302.6,301.95,302.5,333087
19-07-2017 15:20,301.95,302,301.4,301.95,390736
19-07-2017 15:15,302,302.25,301.75,301.95,408142
19-07-2017 15:10,302.8,302.8,301.9,302,497922
19-07-2017 15:05,302.65,302.8,302.55,302.8,270809
19-07-2017 15:00,302.35,302.85,302.25,302.65,292254
19-07-2017 14:55,302.4,302.5,302.15,302.35,285086
19-07-2017 14:50,302.35,302.75,302.25,302.4,293465
19-07-2017 14:45,302.55,302.75,302.1,302.3,232374
19-07-2017 14:40,302.2,302.85,302.2,302.55,161375
19-07-2017 14:35,302.3,302.9,302.15,302.2,321289
19-07-2017 14:30,302.6,302.75,302.2,302.25,195480
19-07-2017 14:25,302.95,303,302.4,302.6,232233
19-07-2017 14:20,302.6,302.95,302.35,302.95,177031
19-07-2017 14:15,302.65,302.8,302.6,302.65,142503
19-07-2017 14:10,302.4,302.75,302.3,302.65,172619
19-07-2017 14:05,302.65,302.75,302.35,302.35,319837
19-07-2017 14:00,302.75,302.95,302.5,302.65,347047
19-07-2017 13:55,302.85,303,302.7,302.75,156976
19-07-2017 13:50,303.2,303.2,302.6,302.85,359374
19-07-2017 13:45,303.7,303.8,303.1,303.2,145314
19-07-2017 13:40,303.85,304,303.6,303.7,107113
19-07-2017 13:35,303.6,303.9,303.4,303.8,117906
19-07-2017 13:30,303.75,303.9,303.5,303.55,91484
19-07-2017 13:25,303.85,304.05,303.7,303.75,116982
19-07-2017 13:20,303.7,304,303.5,303.85,137928
19-07-2017 13:15,303.45,303.8,303.35,303.7,137995
19-07-2017 13:10,303.25,303.75,303.15,303.4,177161
19-07-2017 13:05,303.5,303.7,303.25,303.3,100997
19-07-2017 13:00,303.6,303.6,303.1,303.5,107421
19-07-2017 12:55,303.85,303.95,303.6,303.6,49681
19-07-2017 12:50,303.75,304,303.65,303.85,52273
19-07-2017 12:45,304.1,304.15,303.6,303.75,94636
19-07-2017 12:40,304.15,304.35,304,304.1,61778
19-07-2017 12:35,304.1,304.35,304,304.15,137060
19-07-2017 12:30,304.05,304.15,304,304.1,25124
19-07-2017 12:25,304.15,304.2,304,304.1,92531
19-07-2017 12:20,303.85,304.15,303.85,304.1,204176
19-07-2017 12:15,303.95,304,303.8,303.85,48462
19-07-2017 12:10,303.85,304,303.75,303.95,43742
19-07-2017 12:05,304,304,303.7,303.85,56272
19-07-2017 12:00,304,304.05,303.9,304,59483
19-07-2017 11:55,304,304.25,303.95,303.95,38076
19-07-2017 11:50,304.25,304.25,303.85,304,117635
19-07-2017 11:45,304.5,304.55,304.2,304.25,51483
19-07-2017 11:40,304.05,304.9,304,304.5,300714
19-07-2017 11:35,303.95,304.15,303.85,304.05,159025
19-07-2017 11:30,303.55,303.95,303.55,303.95,55443
19-07-2017 11:25,303.9,304,303.5,303.7,52733
19-07-2017 11:20,303.65,303.9,303.55,303.9,46359
19-07-2017 11:15,303.95,304.1,303.5,303.65,76681
19-07-2017 11:10,304,304.1,303.85,304,93436
19-07-2017 11:05,303.85,304.05,303.8,304.05,153732
19-07-2017 11:00,303.7,303.95,303.6,303.85,36653
19-07-2017 10:55,303.55,303.8,303.5,303.7,38812
19-07-2017 10:50,303.8,303.85,303.5,303.55,42639
19-07-2017 10:45,303.9,304,303.65,303.8,52485
19-07-2017 10:40,303.9,304,303.8,303.9,43156
19-07-2017 10:35,303.5,304,303.5,303.9,73887
19-07-2017 10:30,303.45,303.6,303.3,303.5,39189
19-07-2017 10:25,303.35,303.5,303.3,303.45,30721
19-07-2017 10:20,303.25,303.5,303.25,303.35,38551
19-07-2017 10:15,303.4,303.5,303.2,303.25,30809
19-07-2017 10:10,303.4,303.45,303.1,303.35,63530
19-07-2017 10:05,303.65,303.7,303.2,303.3,112741
19-07-2017 10:00,303.9,303.9,303.6,303.65,48898
19-07-2017 09:55,303.9,303.9,303.75,303.9,56869
19-07-2017 09:50,303.7,303.9,303.65,303.85,72984
19-07-2017 09:45,303.85,303.9,303.6,303.7,67817
19-07-2017 09:40,303.6,303.9,303.55,303.85,100511
19-07-2017 09:35,303.4,303.8,302.8,303.6,155593
19-07-2017 09:30,303.35,303.45,302.8,303.25,117139
19-07-2017 09:25,303.5,303.5,302.55,303.4,236681
19-07-2017 09:20,303.6,303.9,303.2,303.5,137811
19-07-2017 09:15,303.35,304.4,303.05,303.6,254835
18-07-2017 15:25,303.55,304.2,303.5,303.55,400982
18-07-2017 15:20,303.7,303.95,303.6,303.75,361377
18-07-2017 15:15,303.9,304.25,303.55,303.65,467851
18-07-2017 15:10,304.15,304.3,303.7,303.9,368912
18-07-2017 15:05,304.2,304.35,304,304.15,221248
18-07-2017 15:00,304.15,304.45,303.9,304.2,222753
18-07-2017 14:55,303.95,304.15,303.6,304.15,190515
18-07-2017 14:50,304.25,304.3,303.35,304,332224
18-07-2017 14:45,305.15,305.25,304.15,304.25,253268
18-07-2017 14:40,304.75,305.25,304.3,305.15,375745
18-07-2017 14:35,305.2,305.55,304.8,304.85,449430
18-07-2017 14:30,305,305.45,304.95,305.2,223434
18-07-2017 14:25,305,305.25,304.85,305,214795
18-07-2017 14:20,305,305.05,304.8,304.95,188293
18-07-2017 14:15,305.5,305.65,304.6,305,232267
18-07-2017 14:10,305.3,305.55,305.25,305.5,147132
18-07-2017 14:05,305.75,305.85,305.1,305.3,244894
18-07-2017 14:00,305.15,305.85,304.95,305.75,243059
18-07-2017 13:55,305.85,306,305,305.15,409688
18-07-2017 13:50,304.9,305.85,304.85,305.8,282420
