Date,INFY-EQ O,INFY-EQ H,INFY-EQ L,INFY-EQ C,INFY-EQ V
21-07-2017 15:25,981,982,979.75,979.9,210157
21-07-2017 15:20,979.5,981.15,979.2,981,188681
21-07-2017 15:15,979.5,980.45,979.05,979.5,138008
21-07-2017 15:10,980.15,980.15,978.8,979.2,127185
21-07-2017 15:05,979.7,980.55,979.7,980.1,132147
21-07-2017 15:00,978.1,980,978,979.75,132028
21-07-2017 14:55,977.8,978.7,977.6,978,19872
21-07-2017 14:50,977.8,978.35,975.6,977.8,30728
21-07-2017 14:45,978.65,978.7,976.8,977.65,28851
21-07-2017 14:40,979.2,979.2,978,978.75,22277
21-07-2017 14:35,978.2,979.25,977.6,979.25,34091
21-07-2017 14:30,977.35,978.9,976.75,978.15,78559
21-07-2017 14:25,975.7,978.45,975.45,977.5,46027
21-07-2017 14:20,975.55,975.85,975.25,975.7,13314
21-07-2017 14:15,974.35,976.35,974.35,975.5,21053
21-07-2017 14:10,974.65,975,974,974.35,24569
21-07-2017 14:05,974.6,975.5,974.45,974.65,21803
21-07-2017 14:00,976,976,974.45,974.6,21578
21-07-2017 13:55,975.15,976,975,976,17937
21-07-2017 13:50,974.3,975.95,974,975.15,26204
21-07-2017 13:45,976.35,976.8,973.5,974.45,29717
21-07-2017 13:40,975.75,977.05,975.5,976.35,40286
21-07-2017 13:35,973.6,975.95,973.6,975.8,18804
21-07-2017 13:30,974.3,974.4,973.4,973.6,9399
21-07-2017 13:25,975.15,975.45,973,974.3,22718
21-07-2017 13:20,973.9,975.35,973.2,975.15,10779
21-07-2017 13:15,974.35,974.65,974,974,14299
21-07-2017 13:10,974.9,975.75,974.15,974.35,12610
21-07-2017 13:05,974.05,975.9,971.5,974.9,65595
21-07-2017 13:00,977.45,978,973.35,973.95,62891
21-07-2017 12:55,976.1,978.05,976,977.45,55162
21-07-2017 12:50,978.3,979.2,975.35,976.1,65441
21-07-2017 12:45,979.2,979.6,978.3,978.6,27599
21-07-2017 12:40,978.95,979.5,978.75,979.1,21066
21-07-2017 12:35,978.5,979.5,978.5,978.95,34348
21-07-2017 12:30,978.5,978.7,978.5,978.5,18213
21-07-2017 12:25,978.25,978.8,978.1,978.55,30351
21-07-2017 12:20,978.15,978.45,978,978.25,37238
21-07-2017 12:15,978.15,978.2,978.1,978.15,13354
21-07-2017 12:10,978.7,978.75,978.1,978.2,15063
21-07-2017 12:05,978.65,978.8,978.35,978.75,10950
21-07-2017 12:00,978.2,978.65,978,978.65,19758
21-07-2017 11:55,978.3,978.5,978,978.2,23692
21-07-2017 11:50,978.25,978.6,978.2,978.3,9880
21-07-2017 11:45,978.75,978.75,978.1,978.25,18946
21-07-2017 11:40,978.25,978.75,978.2,978.75,4897
21-07-2017 11:35,977.9,979.2,977.75,978.25,10420
21-07-2017 11:30,977.95,978.5,977.8,977.9,10343
21-07-2017 11:25,978.45,978.45,977.5,978,8955
21-07-2017 11:20,979.3,979.4,978.05,978.45,9512
21-07-2017 11:15,979.3,979.7,979.05,979.3,7565
21-07-2017 11:10,979.8,979.95,978.15,979.5,16970
21-07-2017 11:05,977.75,980,977.75,979.8,13538
21-07-2017 11:00,977.1,978.25,977.1,977.95,16267
21-07-2017 10:55,979.25,979.25,977.1,977.15,18201
21-07-2017 10:50,980,980.1,979.1,979.3,10667
21-07-2017 10:45,980.9,981,978.65,980,27495
21-07-2017 10:40,978.15,980.55,977.8,980.5,33729
21-07-2017 10:35,976.5,978.8,976.25,978.2,15386
21-07-2017 10:30,977.6,977.7,975.5,976.95,45463
21-07-2017 10:25,977.65,977.85,977.6,977.7,9431
21-07-2017 10:20,978.15,978.15,977.2,977.65,24255
21-07-2017 10:15,978.7,979.35,978,978.15,40288
21-07-2017 10:10,978.7,978.95,978.1,978.75,16964
21-07-2017 10:05,979.1,979.15,978.1,978.7,29358
21-07-2017 10:00,979.9,980,979.05,979.15,13765
21-07-2017 09:55,981.05,981.15,979.75,979.95,25441
21-07-2017 09:50,980.8,982.5,980.8,981.15,59182
21-07-2017 09:45,979.85,981,979,981,89872
21-07-2017 09:40,977.75,979.75,977.75,979.75,26261
21-07-2017 09:35,979.95,980.5,977.1,977.75,40207
21-07-2017 09:30,977.8,981,977.55,979.95,158426
21-07-2017 09:25,978.35,979.2,977.1,977.8,46710
21-07-2017 09:20,974.75,979,974.5,978.45,70299
21-07-2017 09:15,973.65,977,973.65,975,64880
20-07-2017 15:25,969.7,969.8,968,968.5,99094
20-07-2017 15:20,969.3,969.75,968.7,969.75,111071
20-07-2017 15:15,969.2,969.65,966.95,969.3,90865
20-07-2017 15:10,970.55,970.65,969,969,54756
20-07-2017 15:05,970.6,971,970.05,970.55,42241
20-07-2017 15:00,969.95,971,969.9,970.5,104363
20-07-2017 14:55,969.95,970,969.3,969.9,11439
20-07-2017 14:50,969.95,970.5,969.7,969.95,27669
20-07-2017 14:45,969.6,970,969,969.95,102796
20-07-2017 14:40,969.95,970,968.75,969.6,24822
20-07-2017 14:35,970.45,970.5,969.8,969.95,49419
20-07-2017 14:30,970,971,969.7,970.45,82577
20-07-2017 14:25,969.85,970.3,969.25,970,90189
20-07-2017 14:20,970.2,970.5,969.5,969.85,20135
20-07-2017 14:15,969.7,970.8,969.5,970.2,55748
20-07-2017 14:10,970.05,970.25,969.5,969.7,89516
20-07-2017 14:05,969.3,970.8,969.25,970.05,67294
20-07-2017 14:00,969.05,969.5,968.55,969.3,10158
20-07-2017 13:55,969.45,970,968.4,969,69740
20-07-2017 13:50,969.45,970,969.15,969.3,11723
20-07-2017 13:45,970,971.2,969.15,969.15,78857
20-07-2017 13:40,971.1,971.75,969.55,970,32888
20-07-2017 13:35,970.2,972,970.2,971.1,22650
20-07-2017 13:30,969.8,971,969.1,970.2,106855
20-07-2017 13:25,969.75,970,969.7,969.8,27290
20-07-2017 13:20,969.55,970,968.35,969.75,72435
20-07-2017 13:15,969.95,970.75,969.55,969.55,9240
20-07-2017 13:10,969.95,971.1,969.35,969.95,34619
20-07-2017 13:05,969.95,970,969.55,969.95,17679
20-07-2017 13:00,969.65,970,969.45,969.95,74503
20-07-2017 12:55,970.05,970.45,969.45,969.65,18456
20-07-2017 12:50,969.75,970.35,969.6,970.35,62809
20-07-2017 12:45,969.45,969.95,969.45,969.75,5521
