Date,HINDUNILVR-EQ O,HINDUNILVR-EQ H,HINDUNILVR-EQ L,HINDUNILVR-EQ C,HINDUNILVR-EQ V
21-07-2017 15:25,1159,1159.25,1156,1157.75,36548
21-07-2017 15:20,1158.9,1159.95,1157.15,1159,50145
21-07-2017 15:15,1158.1,1160,1156.8,1158.65,98554
21-07-2017 15:10,1157.85,1160.7,1156.7,1158.1,49507
21-07-2017 15:05,1159.2,1159.9,1156.65,1157.9,47794
21-07-2017 15:00,1157.75,1161,1157.75,1158.6,42464
21-07-2017 14:55,1160.65,1162,1157.05,1157.5,18568
21-07-2017 14:50,1162,1162.95,1158.15,1160.9,22609
21-07-2017 14:45,1163.5,1164.2,1161.35,1161.9,15240
21-07-2017 14:40,1163,1163.7,1161.55,1163.7,15512
21-07-2017 14:35,1161.5,1164.2,1160.8,1162.75,19988
21-07-2017 14:30,1159.95,1162.2,1159.6,1161.45,30521
21-07-2017 14:25,1160,1160.5,1158,1159.95,15493
21-07-2017 14:20,1160.4,1162.25,1159.6,1160.15,19478
21-07-2017 14:15,1156,1163.2,1155.65,1160.65,59037
21-07-2017 14:10,1156.05,1156.25,1155.1,1155.5,10233
21-07-2017 14:05,1157,1157,1155.4,1155.4,5899
21-07-2017 14:00,1157.2,1157.5,1156.05,1157,33009
21-07-2017 13:55,1155,1158,1154.95,1157.3,13520
21-07-2017 13:50,1154.8,1155,1153.95,1154.9,10074
21-07-2017 13:45,1156.25,1157.65,1153.2,1154.6,14027
21-07-2017 13:40,1155.35,1157.95,1154.6,1156.2,27091
21-07-2017 13:35,1154.95,1155.5,1154.4,1155.4,17185
21-07-2017 13:30,1155,1155.45,1154.45,1154.45,14486
21-07-2017 13:25,1154.95,1155.5,1154.55,1155,13010
21-07-2017 13:20,1154.5,1155,1154.5,1154.95,4158
21-07-2017 13:15,1154.3,1155,1152.4,1154.5,6473
21-07-2017 13:10,1152.1,1155,1151.6,1154.3,6912
21-07-2017 13:05,1150.3,1153.9,1149.9,1151.55,10540
21-07-2017 13:00,1153.55,1154,1149.4,1150,30617
21-07-2017 12:55,1155.45,1155.45,1153,1153.55,8129
21-07-2017 12:50,1155.2,1155.45,1154.25,1155.25,7381
21-07-2017 12:45,1154.7,1155.25,1154.45,1155.2,10456
21-07-2017 12:40,1155,1155.5,1154.4,1154.7,6681
21-07-2017 12:35,1155.95,1156.65,1154.15,1155,14163
21-07-2017 12:30,1156.45,1157,1155.4,1155.55,7638
21-07-2017 12:25,1157,1157.4,1156,1156.45,8626
21-07-2017 12:20,1157,1157.8,1156.35,1156.9,11475
21-07-2017 12:15,1153.85,1157,1153.65,1157,12047
21-07-2017 12:10,1155.65,1156,1153.5,1153.6,11556
21-07-2017 12:05,1156.8,1157,1153.65,1155.35,10527
21-07-2017 12:00,1156.65,1156.8,1154.4,1156.6,15896
21-07-2017 11:55,1155.9,1157.35,1155.45,1156.7,19404
21-07-2017 11:50,1155.8,1156,1153.7,1155.9,11667
21-07-2017 11:45,1154.5,1156.25,1154.4,1155.8,12638
21-07-2017 11:40,1153.95,1154.85,1153.95,1154.5,3495
21-07-2017 11:35,1153.35,1154.5,1153.3,1153.95,3548
21-07-2017 11:30,1153,1153.6,1153,1153.35,2693
21-07-2017 11:25,1152.45,1154,1151.65,1153,6490
21-07-2017 11:20,1151.4,1152.55,1151.4,1152.2,3893
21-07-2017 11:15,1151.1,1151.5,1150.65,1151.45,1714
21-07-2017 11:10,1150,1152.55,1149.6,1151.6,9491
21-07-2017 11:05,1150.75,1153.6,1149.55,1150.05,20684
21-07-2017 11:00,1151.55,1152.5,1150.55,1150.75,5858
21-07-2017 10:55,1151.1,1152.85,1151.1,1151.55,5490
21-07-2017 10:50,1150.6,1151.25,1150.55,1151.1,2580
21-07-2017 10:45,1152.6,1152.65,1150.5,1150.6,2841
21-07-2017 10:40,1152,1153.25,1152,1152.9,4593
21-07-2017 10:35,1150.65,1153,1150.6,1152,6104
21-07-2017 10:30,1150.5,1150.8,1149.05,1150.65,3587
21-07-2017 10:25,1149.9,1150.95,1149.75,1150.5,7266
21-07-2017 10:20,1153.5,1153.5,1148.6,1149.9,13707
21-07-2017 10:15,1156.05,1156.8,1153,1153.5,14498
21-07-2017 10:10,1157.7,1157.8,1156,1156.05,9376
21-07-2017 10:05,1156.4,1157.95,1156.4,1157.7,4989
21-07-2017 10:00,1155,1156.5,1154.95,1156.45,8795
21-07-2017 09:55,1156.15,1156.15,1154.35,1155,12437
21-07-2017 09:50,1155,1156.15,1154.35,1156.15,14578
21-07-2017 09:45,1158,1158,1153.85,1155,53290
21-07-2017 09:40,1152.9,1158,1152.25,1157.9,283913
21-07-2017 09:35,1149.05,1152.9,1149.05,1152.9,158661
21-07-2017 09:30,1148.8,1149.05,1146.25,1149.05,11968
21-07-2017 09:25,1149.3,1150.65,1148.8,1148.85,11618
21-07-2017 09:20,1150,1151.35,1149,1149.3,20252
