Date,IOC-EQ O,IOC-EQ H,IOC-EQ L,IOC-EQ C,IOC-EQ V
21-07-2017 15:25,381.7,382,381.35,381.7,83264
21-07-2017 15:20,382.2,382.45,381.6,381.65,135764
21-07-2017 15:15,381.75,382.7,381.45,382.2,133481
21-07-2017 15:10,381.55,382,381.1,381.85,141791
21-07-2017 15:05,379.15,381.55,379.15,381.55,254825
21-07-2017 15:00,379,379.2,378.4,379.2,203088
21-07-2017 14:55,378.9,379.15,378.75,378.95,73746
21-07-2017 14:50,378.8,379.1,378.75,378.9,64618
21-07-2017 14:45,378.6,379.15,378.35,378.8,44321
21-07-2017 14:40,378.3,378.8,378.2,378.6,21765
21-07-2017 14:35,378.05,378.7,378,378.3,33701
21-07-2017 14:30,377.75,378.15,377.7,378,43614
21-07-2017 14:25,377.55,377.95,377.5,377.75,14607
21-07-2017 14:20,377.8,377.85,377.35,377.55,17481
21-07-2017 14:15,377.1,377.75,376.95,377.75,50654
21-07-2017 14:10,377.05,377.2,377,377.1,10961
21-07-2017 14:05,377.25,377.45,376.65,377.05,84077
21-07-2017 14:00,377.4,377.5,377.1,377.25,15189
21-07-2017 13:55,377.3,377.4,377,377.3,19861
21-07-2017 13:50,377.2,377.55,377,377.2,18044
21-07-2017 13:45,377.9,377.9,377.05,377.2,16236
21-07-2017 13:40,377.9,377.95,377.5,377.9,17526
21-07-2017 13:35,377.8,378,377.55,377.9,23944
21-07-2017 13:30,378,378.1,377.35,377.8,247919
21-07-2017 13:25,378.1,378.4,377.55,378,33042
21-07-2017 13:20,378.15,378.25,377.6,378.1,46563
21-07-2017 13:15,378,378.45,377.7,378.15,20414
21-07-2017 13:10,377.65,378.2,377.5,378,67713
21-07-2017 13:05,377.75,378.3,377,377.65,132748
21-07-2017 13:00,379,379.1,377.75,377.75,214080
21-07-2017 12:55,379.05,379.25,378.55,379,115270
21-07-2017 12:50,379.2,379.5,379,379.05,71623
21-07-2017 12:45,378.75,379.35,378.75,379.2,81583
21-07-2017 12:40,379,379.3,378.3,378.3,149527
21-07-2017 12:35,379,379.2,378.7,379,539198
21-07-2017 12:30,379,379.1,378.9,379,42642
21-07-2017 12:25,379.1,379.1,378.7,378.9,20450
21-07-2017 12:20,379.1,379.15,378.95,379.1,6184
21-07-2017 12:15,378.95,379.1,378.7,379.1,14155
21-07-2017 12:10,379,379.3,378.55,379,61878
21-07-2017 12:05,379,379.15,378.25,379,41023
21-07-2017 12:00,378.9,379.05,378.55,379,25699
21-07-2017 11:55,378.9,379,377.75,378.9,58529
21-07-2017 11:50,379.1,379.1,378.45,378.95,53474
21-07-2017 11:45,378.85,379.1,378.85,379.1,36771
21-07-2017 11:40,379,379,378.75,378.8,134724
21-07-2017 11:35,379,379,378.8,379,19660
21-07-2017 11:30,379.15,379.25,378.9,379,69805
21-07-2017 11:25,379,379.2,378.8,379.15,45122
21-07-2017 11:20,378.5,379.45,378.15,379,97854
21-07-2017 11:15,378.35,378.65,378.3,378.5,13799
21-07-2017 11:10,377.9,378.75,377.9,378.35,13689
21-07-2017 11:05,378.5,378.6,377.9,377.9,23629
21-07-2017 11:00,378.75,378.75,378.3,378.5,24321
21-07-2017 10:55,377.9,378.75,377.8,378.75,52074
21-07-2017 10:50,377.85,377.95,377.65,377.9,13961
21-07-2017 10:45,377.95,378.05,377.55,377.85,18781
21-07-2017 10:40,378.25,378.45,377.2,378,47263
21-07-2017 10:35,378.25,378.5,378.15,378.25,11683
21-07-2017 10:30,378.35,378.7,378.1,378.25,36138
21-07-2017 10:25,378.8,378.9,378.1,378.45,48149
21-07-2017 10:20,378.85,379.8,378.5,378.9,96761
21-07-2017 10:15,379.6,379.6,378.35,378.85,70258
21-07-2017 10:10,378.85,380,378.65,379.6,92901
21-07-2017 10:05,377.1,379.6,376.95,378.6,212662
21-07-2017 10:00,376,377.7,376,377.1,130899
21-07-2017 09:55,375.65,376.3,375.1,376,40489
21-07-2017 09:50,376.45,376.45,375.5,375.65,31100
21-07-2017 09:45,375.3,378.2,374.55,376.45,256381
21-07-2017 09:40,374.6,375.4,373.8,375.4,41121
21-07-2017 09:35,375.2,376,374.7,374.7,27816
21-07-2017 09:30,375.5,375.5,374.8,375.2,31962
21-07-2017 09:25,374.75,375.95,374.65,375.5,30959
21-07-2017 09:20,376.25,377,374.75,374.75,106778
21-07-2017 09:15,375.8,376.7,375.2,376.3,65739
20-07-2017 15:25,375.05,375.25,374.45,374.8,139413
20-07-2017 15:20,374.05,375.5,373.95,375.25,134576
20-07-2017 15:15,374.3,374.3,373.7,374,64148
20-07-2017 15:10,374.5,374.85,374.25,374.3,65963
20-07-2017 15:05,375,375,374.4,374.5,68943
20-07-2017 15:00,375,375,374.5,375,43913
20-07-2017 14:55,375.35,375.4,374.65,375,35421
20-07-2017 14:50,375.4,375.5,375.1,375.35,22892
20-07-2017 14:45,375.25,375.5,375.05,375.4,24223
20-07-2017 14:40,375.1,375.35,375,375.2,18657
20-07-2017 14:35,375.35,375.5,375,375.05,23304
20-07-2017 14:30,376,376,375.15,375.35,73371
20-07-2017 14:25,376,376,375.85,376,29284
20-07-2017 14:20,376,376,375.6,376,31136
20-07-2017 14:15,375.9,376.05,375.9,376,29588
20-07-2017 14:10,376.5,376.5,375.9,375.9,35446
20-07-2017 14:05,376.5,376.5,376.2,376.5,14527
20-07-2017 14:00,376.8,376.8,376.1,376.3,13621
20-07-2017 13:55,376.75,376.8,376,376.8,26974
20-07-2017 13:50,376.95,377,376.45,376.75,16364
20-07-2017 13:45,376.75,377,376.75,377,47789
20-07-2017 13:40,377.05,377.05,376.65,376.75,13250
20-07-2017 13:35,377.25,377.5,376.8,377,21113
20-07-2017 13:30,377,377.45,376.85,377.25,24707
20-07-2017 13:25,376.75,377.2,376.5,376.95,36369
20-07-2017 13:20,377,377.15,376.5,376.75,142364
20-07-2017 13:15,376.55,377,376.5,377,24506
20-07-2017 13:10,376,376.9,376,376.55,18706
20-07-2017 13:05,376.1,376.45,376,376,28711
20-07-2017 13:00,375.5,376.2,375.45,376.1,85206
20-07-2017 12:55,375.2,375.6,374.95,375.5,25972
20-07-2017 12:50,375.75,375.85,375.1,375.2,38784
20-07-2017 12:45,375.8,375.85,375.45,375.75,7253
20-07-2017 12:40,376.1,376.6,375.75,376,34152
20-07-2017 12:35,374.95,376.55,374.95,376.1,61127
20-07-2017 12:30,375,375.25,374.9,374.95,25383
20-07-2017 12:25,374.95,375.1,374.7,375,98574
20-07-2017 12:20,376.1,376.1,374.9,375,99545
20-07-2017 12:15,376.7,376.7,375.9,376.15,56482
20-07-2017 12:10,376.45,376.7,376.2,376.7,20712
20-07-2017 12:05,376.9,376.9,376.25,376.45,17988
