Date,ITC-EQ O,ITC-EQ H,ITC-EQ L,ITC-EQ C,ITC-EQ V
21-07-2017 15:25,289.25,289.25,288.4,288.6,399140
21-07-2017 15:20,288.85,289.35,288.55,289.1,813944
21-07-2017 15:15,289,289.05,288.4,288.85,651890
21-07-2017 15:10,289.25,289.35,288.9,288.95,546492
21-07-2017 15:05,288.85,289.3,288.15,289.25,549163
21-07-2017 15:00,288.3,289,288.3,288.8,404250
21-07-2017 14:55,288.3,288.5,288.1,288.3,191352
21-07-2017 14:50,288.2,288.5,288.05,288.35,182318
21-07-2017 14:45,287.95,288.5,287.95,288.25,179277
21-07-2017 14:40,287.95,288.3,287.75,288,142250
21-07-2017 14:35,287.8,288.4,287.65,288,205206
21-07-2017 14:30,287.45,288.15,287.45,287.8,163589
21-07-2017 14:25,287.45,287.6,287.4,287.5,61409
21-07-2017 14:20,287.7,287.7,287.4,287.5,78055
21-07-2017 14:15,287.4,287.8,287.3,287.6,123750
21-07-2017 14:10,287.3,287.5,287.15,287.35,74036
21-07-2017 14:05,287.3,287.45,287.25,287.25,57791
21-07-2017 14:00,287.55,287.65,287.35,287.35,83293
21-07-2017 13:55,287.1,287.75,287.1,287.5,92994
21-07-2017 13:50,287,287.25,286.55,287.05,131479
21-07-2017 13:45,287.3,287.4,286.9,287,66396
21-07-2017 13:40,287.2,287.75,287.1,287.35,164857
21-07-2017 13:35,286.95,287.75,286.95,287.2,89007
21-07-2017 13:30,287.2,287.25,286.8,287,108563
21-07-2017 13:25,287.1,287.4,287.05,287.2,55040
21-07-2017 13:20,287.35,287.5,286.9,287.1,234085
21-07-2017 13:15,287.75,287.8,287.35,287.35,85577
21-07-2017 13:10,287.65,288,287.55,287.75,95722
21-07-2017 13:05,287.6,288.15,287.1,287.65,358103
21-07-2017 13:00,288.05,288.4,287.3,287.6,247156
21-07-2017 12:55,288.45,288.5,288,288.05,274712
21-07-2017 12:50,288.6,288.75,288.3,288.45,65304
21-07-2017 12:45,288.7,288.85,288.6,288.6,43295
21-07-2017 12:40,288.4,288.9,288.4,288.75,82447
21-07-2017 12:35,288.6,288.7,288.3,288.4,99081
21-07-2017 12:30,288.9,289,288.55,288.65,124486
21-07-2017 12:25,289.25,289.25,288.9,288.9,62153
21-07-2017 12:20,289.1,290,289.1,289.2,284881
21-07-2017 12:15,288.8,289.05,288.8,289.05,96641
21-07-2017 12:10,288.75,288.9,288.5,288.8,69248
21-07-2017 12:05,288.75,288.9,288.6,288.8,62170
21-07-2017 12:00,288.8,288.8,288.55,288.75,60425
21-07-2017 11:55,289,289,288.25,288.8,132656
21-07-2017 11:50,289.05,289.1,288.8,288.9,60863
21-07-2017 11:45,288.9,289.05,288.8,289,70219
21-07-2017 11:40,288.85,289.05,288.8,288.9,282431
21-07-2017 11:35,288.95,289,288.8,288.85,59804
21-07-2017 11:30,288.95,289.05,288.8,288.9,287023
21-07-2017 11:25,289.15,289.15,288.95,288.95,120265
21-07-2017 11:20,289.3,289.3,289.05,289.15,28463
21-07-2017 11:15,289.35,289.35,289.1,289.3,41507
21-07-2017 11:10,289.25,289.35,289.15,289.35,42731
21-07-2017 11:05,289.15,289.3,289.15,289.3,34754
21-07-2017 11:00,289.2,289.3,289.1,289.25,44291
21-07-2017 10:55,289.3,289.55,289.15,289.2,61136
21-07-2017 10:50,289.6,289.65,289.45,289.55,59568
21-07-2017 10:45,289.8,289.9,289.4,289.65,125884
21-07-2017 10:40,289.95,290.3,289.65,289.8,149723
21-07-2017 10:35,289.8,290,289.75,289.95,69673
21-07-2017 10:30,289.8,289.8,289.45,289.8,80218
21-07-2017 10:25,289.7,290,289.5,289.8,168068
21-07-2017 10:20,289.3,289.65,289.15,289.65,107675
21-07-2017 10:15,290,290,289,289.35,136661
21-07-2017 10:10,290.1,290.2,289.9,290,80319
21-07-2017 10:05,290.15,290.3,290,290.1,69900
21-07-2017 10:00,289.95,290.2,289.85,290.15,93052
21-07-2017 09:55,289.65,290,289.65,289.95,385164
21-07-2017 09:50,290.15,290.2,289.55,289.7,92971
21-07-2017 09:45,289.9,290.5,289.9,290.15,681457
21-07-2017 09:40,289.45,290,289.45,289.9,181029
21-07-2017 09:35,289.1,289.55,288.8,289.45,187605
21-07-2017 09:30,289.75,290.1,289.05,289.15,212972
21-07-2017 09:25,289,289.95,288.8,289.7,223538
21-07-2017 09:20,290.5,290.55,288.95,288.95,399625
21-07-2017 09:15,291.4,291.5,290.3,290.4,412914
20-07-2017 15:25,289.65,290.2,289.65,290,394434
20-07-2017 15:20,289,290,288.95,289.65,579558
20-07-2017 15:15,289.2,289.35,288.9,288.95,572985
20-07-2017 15:10,289.55,289.65,288.7,289.3,422754
20-07-2017 15:05,290,290.05,289.25,289.55,502524
20-07-2017 15:00,289.95,290.2,289.9,290,257020
20-07-2017 14:55,290.25,290.35,289.9,290,292002
20-07-2017 14:50,290.1,290.4,290.1,290.35,109575
20-07-2017 14:45,290.35,290.45,290.05,290.1,89137
20-07-2017 14:40,289.8,290.5,289.65,290.3,203683
20-07-2017 14:35,289.75,290,289.55,289.8,77264
20-07-2017 14:30,289.75,289.9,289.65,289.75,86797
20-07-2017 14:25,289.85,290,289.65,289.8,49541
20-07-2017 14:20,290.1,290.1,289.4,289.9,111134
20-07-2017 14:15,290,290.15,289.6,290.1,151323
20-07-2017 14:10,289.4,290.2,289.3,290.05,156942
20-07-2017 14:05,289.35,289.5,288.4,289.3,554257
20-07-2017 14:00,289.65,289.7,289.05,289.3,306082
20-07-2017 13:55,289.6,289.8,289.5,289.7,146319
20-07-2017 13:50,289.8,289.95,289.5,289.55,69841
20-07-2017 13:45,290,290.05,289.55,289.8,79436
20-07-2017 13:40,290.2,290.25,289.7,290,81813
20-07-2017 13:35,290.15,290.45,290.1,290.25,64628
20-07-2017 13:30,290.15,290.2,290,290.15,61478
20-07-2017 13:25,290.05,290.25,290,290.15,80893
20-07-2017 13:20,290.25,290.35,290,290.05,111493
20-07-2017 13:15,290.3,290.5,290.25,290.3,84010
20-07-2017 13:10,290.4,290.5,290.2,290.35,65943
20-07-2017 13:05,290.2,290.5,290.05,290.4,68543
20-07-2017 13:00,289.75,290.15,289.3,290.15,151528
20-07-2017 12:55,289.95,290.1,289.65,289.75,277204
20-07-2017 12:50,290.1,290.2,289.95,290,114935
20-07-2017 12:45,290.25,290.3,290.05,290.15,97512
20-07-2017 12:40,290.25,290.4,290.1,290.3,67057
20-07-2017 12:35,290.15,290.6,290.15,290.25,91872
20-07-2017 12:30,289.75,290.1,289.65,290.1,253398
20-07-2017 12:25,290.1,290.15,289.6,289.75,289519
20-07-2017 12:20,290.15,290.35,290,290.1,572134
20-07-2017 12:15,290.75,290.75,290.15,290.15,110140
20-07-2017 12:10,290.9,291.05,290.5,290.75,119260
20-07-2017 12:05,290.85,291,290.8,290.9,92070
20-07-2017 12:00,290.9,291.1,290.8,290.9,130997
20-07-2017 11:55,291.05,291.15,290.9,290.95,82586
20-07-2017 11:50,291,291.2,290.95,291.05,132597
20-07-2017 11:45,291.15,291.3,291,291.05,124906
20-07-2017 11:40,291.05,291.2,290.8,291.15,256356
20-07-2017 11:35,291.05,291.1,291,291,63320
20-07-2017 11:30,291.05,291.15,291,291.05,52786
20-07-2017 11:25,291.2,291.25,291,291.05,85511
20-07-2017 11:20,291.15,291.3,291.05,291.15,64801
20-07-2017 11:15,291.15,291.25,291,291.15,44900
20-07-2017 11:10,291.05,291.35,291,291.25,59405
20-07-2017 11:05,291.25,291.35,291,291,73982
20-07-2017 11:00,291.15,291.35,290.9,291.25,173916
20-07-2017 10:55,291.25,291.55,291,291.15,99065
20-07-2017 10:50,291.75,291.8,291.2,291.3,107391
20-07-2017 10:45,291.4,291.9,291.35,291.75,74153
20-07-2017 10:40,291.65,291.8,291.2,291.4,86806
20-07-2017 10:35,291.85,291.95,291.45,291.7,71620
20-07-2017 10:30,291.3,291.9,291.2,291.9,117727
20-07-2017 10:25,291.2,291.45,290.85,291.25,146326
20-07-2017 10:20,290.7,291.4,290.25,291.2,239466
20-07-2017 10:15,290.65,291,290.55,290.75,309728
20-07-2017 10:10,292.1,292.1,290.5,290.75,469231
20-07-2017 10:05,292.55,292.6,292,292,297360
20-07-2017 10:00,292.65,292.75,292.5,292.55,142164
20-07-2017 09:55,292.85,292.95,292.5,292.65,95681
20-07-2017 09:50,292.5,292.9,292.25,292.9,178818
20-07-2017 09:45,292.35,292.55,292.2,292.4,212997
20-07-2017 09:40,292.95,293,292.05,292.45,572790
20-07-2017 09:35,293.05,293.25,292.7,292.9,285100
20-07-2017 09:30,293.2,293.5,293,293.15,255081
20-07-2017 09:25,293,293.25,292.6,293.25,368727
20-07-2017 09:20,293.8,293.9,292.5,292.9,590858
20-07-2017 09:15,294.9,294.9,292.85,293.9,1114730
19-07-2017 15:25,291.75,292,291.75,291.95,535048
19-07-2017 15:20,291.25,292,291.2,291.75,758288
19-07-2017 15:15,291.15,291.35,291,291.3,573266
19-07-2017 15:10,291.45,291.55,290.8,291.1,807823
19-07-2017 15:05,291.6,291.7,291.45,291.45,391315
19-07-2017 15:00,291.45,291.75,291.3,291.55,591842
19-07-2017 14:55,292.25,292.3,291.3,291.6,604850
19-07-2017 14:50,292.15,292.5,292.05,292.3,261447
19-07-2017 14:45,292.2,292.3,292,292.1,391447
19-07-2017 14:40,292.65,292.9,292.2,292.2,533994
19-07-2017 14:35,292.1,292.75,292,292.7,433999
19-07-2017 14:30,291.9,292.35,291.9,292.15,340737
19-07-2017 14:25,291.8,292,291.7,291.9,196647
19-07-2017 14:20,291.85,292,291.6,291.8,250884
