Date,LT-EQ O,LT-EQ H,LT-EQ L,LT-EQ C,LT-EQ V
21-07-2017 15:25,1178.3,1181,1176.1,1177,217056
21-07-2017 15:20,1179,1181,1177.9,1178.3,70891
21-07-2017 15:15,1179,1180,1178.4,1179,66761
21-07-2017 15:10,1179.45,1179.95,1177.45,1179,71275
21-07-2017 15:05,1179.45,1180.4,1178.8,1179.45,53400
21-07-2017 15:00,1178.55,1180.25,1178.15,1179.45,48382
21-07-2017 14:55,1177.65,1180,1177.15,1177.8,20174
21-07-2017 14:50,1180,1180.05,1177.45,1177.65,19812
21-07-2017 14:45,1181.7,1181.7,1180,1180,28647
21-07-2017 14:40,1180.2,1183.25,1180,1181.25,68136
21-07-2017 14:35,1174.95,1182.55,1174.95,1180.45,64600
21-07-2017 14:30,1173.95,1177.45,1173.4,1174.95,33444
21-07-2017 14:25,1173.75,1175.15,1173.1,1174,17192
21-07-2017 14:20,1172.55,1174,1172,1173.75,20115
21-07-2017 14:15,1172.35,1174.3,1171.05,1172.55,32427
21-07-2017 14:10,1174,1174.5,1170.2,1172.35,37683
21-07-2017 14:05,1176.55,1176.8,1173.5,1174.15,26405
21-07-2017 14:00,1176.05,1177,1176,1176.55,15463
21-07-2017 13:55,1174.2,1176.75,1173.6,1176,20936
21-07-2017 13:50,1177.55,1178,1172.2,1173.55,48699
21-07-2017 13:45,1181.25,1181.95,1177.5,1177.55,93171
21-07-2017 13:40,1181.75,1183,1180.7,1181.5,28116
21-07-2017 13:35,1183,1183.95,1181.75,1181.75,12538
21-07-2017 13:30,1183.05,1183.9,1182.5,1183,9436
21-07-2017 13:25,1183.05,1184,1182.5,1183.05,18710
21-07-2017 13:20,1183.4,1184,1183,1183.65,34001
21-07-2017 13:15,1182.15,1183.5,1182.1,1183.3,21932
21-07-2017 13:10,1183,1183.9,1182,1182.15,13373
21-07-2017 13:05,1180.45,1184,1179.15,1182.55,74770
21-07-2017 13:00,1180.3,1180.9,1175.75,1180.45,28218
21-07-2017 12:55,1180.5,1181.5,1179.2,1180.3,9101
21-07-2017 12:50,1180.2,1182,1178.5,1180.5,30863
21-07-2017 12:45,1181.9,1182.85,1180.2,1180.25,13912
21-07-2017 12:40,1182.85,1183.85,1181.25,1181.9,13469
21-07-2017 12:35,1184,1184,1182.6,1183.5,14684
21-07-2017 12:30,1184.05,1184.4,1183.5,1184,10303
21-07-2017 12:25,1185,1185,1183.6,1184.15,7598
21-07-2017 12:20,1184.95,1185.5,1183.75,1185,12215
21-07-2017 12:15,1184.45,1185,1183.8,1184.95,5008
21-07-2017 12:10,1184.75,1184.75,1183.5,1184.45,7724
21-07-2017 12:05,1184.95,1185.7,1184.1,1184.75,9092
21-07-2017 12:00,1185.5,1185.55,1184.1,1184.95,17791
21-07-2017 11:55,1185.9,1185.9,1185.5,1185.55,10463
21-07-2017 11:50,1186,1186,1185.5,1185.9,6948
21-07-2017 11:45,1186,1186,1185.5,1186,5177
21-07-2017 11:40,1186,1186.2,1185.5,1186,3682
21-07-2017 11:35,1185.95,1186.2,1185.5,1186,4811
21-07-2017 11:30,1185.5,1186.5,1185.5,1185.95,13504
21-07-2017 11:25,1185.15,1185.75,1184.2,1185.55,11929
21-07-2017 11:20,1185.55,1185.75,1184.4,1184.85,4674
21-07-2017 11:15,1185.5,1185.7,1185.5,1185.55,5825
21-07-2017 11:10,1185.5,1185.75,1185.5,1185.6,7604
21-07-2017 11:05,1185.5,1186.5,1185.5,1185.75,13674
21-07-2017 11:00,1185.5,1186.15,1185.5,1185.6,9765
21-07-2017 10:55,1184.25,1186.05,1184.15,1185.95,20657
21-07-2017 10:50,1184.95,1185,1184.2,1184.25,5170
21-07-2017 10:45,1184.6,1185.1,1184.4,1184.95,8984
21-07-2017 10:40,1185.75,1186.05,1184.5,1184.6,8640
21-07-2017 10:35,1186.15,1186.25,1185,1185.75,5585
21-07-2017 10:30,1186,1187.8,1186,1186.15,33148
21-07-2017 10:25,1185.15,1186.95,1185.1,1186,12874
21-07-2017 10:20,1185.7,1186,1185,1185.1,12015
21-07-2017 10:15,1185.15,1185.8,1185,1185.7,14437
21-07-2017 10:10,1185.1,1185.85,1185,1185.15,19502
21-07-2017 10:05,1185.1,1185.8,1185,1185.1,9529
21-07-2017 10:00,1184.75,1185.85,1184.6,1185.1,9581
21-07-2017 09:55,1185.45,1185.8,1184.05,1184.75,7561
21-07-2017 09:50,1186.15,1186.15,1185.05,1185.45,11473
21-07-2017 09:45,1184.9,1186.2,1184.9,1186.2,14667
21-07-2017 09:40,1183.1,1185.45,1183.1,1185.45,42635
21-07-2017 09:35,1183.5,1184,1182.75,1183.1,14649
21-07-2017 09:30,1183,1183.8,1182.85,1183.55,14455
21-07-2017 09:25,1184.05,1184.5,1181.7,1183,22506
21-07-2017 09:20,1185.7,1187.45,1184,1184.1,25289
21-07-2017 09:15,1188.9,1189.45,1185.1,1185.95,28875
20-07-2017 15:25,1187.7,1188.25,1185.5,1188,38345
20-07-2017 15:20,1186.5,1189.4,1186.35,1187,45494
20-07-2017 15:15,1184.2,1186.5,1184,1186,46237
20-07-2017 15:10,1185.85,1185.85,1182,1184.2,36107
20-07-2017 15:05,1185.05,1186.8,1185,1185.85,54746
20-07-2017 15:00,1184.05,1186.8,1183.05,1185.05,53368
20-07-2017 14:55,1186,1186.65,1183,1184.05,59387
20-07-2017 14:50,1184.95,1186.5,1184.4,1186,84069
20-07-2017 14:45,1181.1,1185,1180.45,1184.95,21974
20-07-2017 14:40,1180.95,1181.45,1179.4,1181.25,30137
20-07-2017 14:35,1182.05,1182.5,1180.8,1181,19582
20-07-2017 14:30,1180.95,1182.05,1179.85,1182.05,26996
20-07-2017 14:25,1181.95,1182,1180.1,1180.95,12930
20-07-2017 14:20,1182.6,1182.6,1180.55,1181.95,14014
20-07-2017 14:15,1182.3,1183,1181.05,1182.6,27755
20-07-2017 14:10,1182.95,1183,1182.2,1182.3,16215
20-07-2017 14:05,1183.4,1184,1182.2,1182.9,13416
20-07-2017 14:00,1184.05,1184.4,1183,1183.4,16049
20-07-2017 13:55,1184.5,1184.7,1183,1184.05,15967
20-07-2017 13:50,1186.7,1186.7,1184.25,1184.5,7448
20-07-2017 13:45,1186.1,1187.5,1186.1,1186.7,8171
20-07-2017 13:40,1188.4,1188.5,1185.85,1186.05,8577
20-07-2017 13:35,1189.15,1189.15,1187.3,1188.35,8124
20-07-2017 13:30,1186.55,1189.15,1186.55,1189,14032
20-07-2017 13:25,1187.5,1189,1186.05,1186.55,17764
