Date,SBIN-EQ O,SBIN-EQ H,SBIN-EQ L,SBIN-EQ C,SBIN-EQ V
21-07-2017 15:25,290.9,291.3,290.75,291,186079
21-07-2017 15:20,291.05,291.2,290.75,290.9,219172
21-07-2017 15:15,290.55,291.1,290.5,291.1,413656
21-07-2017 15:10,290.3,290.75,290.2,290.55,216226
21-07-2017 15:05,290,290.5,289.85,290.25,163389
21-07-2017 15:00,289.35,290.1,289.3,290,131592
21-07-2017 14:55,288.95,289.7,288.95,289.3,147170
21-07-2017 14:50,289.5,289.85,288.85,288.95,143894
21-07-2017 14:45,289.9,290.1,289.45,289.5,81015
21-07-2017 14:40,290.05,290.4,289.85,289.9,50335
21-07-2017 14:35,290.25,290.5,290.05,290.05,105302
21-07-2017 14:30,289.8,290.5,289.75,290.15,50337
21-07-2017 14:25,289.85,290.05,289.75,289.9,29724
21-07-2017 14:20,290.3,290.35,289.5,289.85,67972
21-07-2017 14:15,289.8,290.5,289.7,290.1,104075
21-07-2017 14:10,289.8,289.95,289.4,289.75,69168
21-07-2017 14:05,289.7,290.15,289.45,289.7,66362
21-07-2017 14:00,289.5,290.35,289.4,289.7,129289
21-07-2017 13:55,289,289.5,288.9,289.45,33311
21-07-2017 13:50,288.8,289.45,288.75,289.1,57354
21-07-2017 13:45,289.05,289.3,288.75,288.8,55142
21-07-2017 13:40,288.8,289.5,288.3,289.05,159009
21-07-2017 13:35,288.5,289,288.45,288.8,214196
21-07-2017 13:30,288.6,288.85,288.35,288.6,47624
21-07-2017 13:25,288.5,288.95,288.4,288.6,47744
21-07-2017 13:20,288.8,288.95,288.3,288.5,97584
21-07-2017 13:15,289.05,289.15,288.8,288.8,56080
21-07-2017 13:10,289.05,289.25,288.7,289.1,121351
21-07-2017 13:05,289.3,289.3,288.3,289.05,231029
21-07-2017 13:00,289.9,290.15,288.65,289.25,293217
21-07-2017 12:55,290,290.25,289.9,289.95,85823
21-07-2017 12:50,290.45,290.5,289.8,290.25,154890
21-07-2017 12:45,290.6,290.8,290.4,290.45,55064
21-07-2017 12:40,290.6,291,290.55,290.6,44542
21-07-2017 12:35,290.4,290.9,290.4,290.6,84634
21-07-2017 12:30,290.4,290.6,290.05,290.5,93311
21-07-2017 12:25,290.6,290.75,290.4,290.4,31087
21-07-2017 12:20,290.6,290.75,290.5,290.6,25873
21-07-2017 12:15,290.7,290.8,290.5,290.65,42496
21-07-2017 12:10,290.5,290.75,290.3,290.75,44914
21-07-2017 12:05,290.9,290.95,290.1,290.6,206916
21-07-2017 12:00,290.9,291,290.75,290.95,65394
21-07-2017 11:55,291.35,291.45,290.65,290.9,148162
21-07-2017 11:50,291.5,291.65,291.15,291.35,52436
21-07-2017 11:45,291.75,291.75,291.3,291.5,33370
21-07-2017 11:40,291.45,291.75,291.4,291.75,19055
21-07-2017 11:35,291.6,291.65,291.4,291.6,15344
