Date,TCS-EQ O,TCS-EQ H,TCS-EQ L,TCS-EQ C,TCS-EQ V
21-07-2017 15:25,2499.65,2499.95,2495.7,2496,26158
21-07-2017 15:20,2499.45,2499.8,2496.05,2499.2,30276
21-07-2017 15:15,2496.2,2499.75,2492.1,2499.45,41377
21-07-2017 15:10,2482,2496.35,2481.1,2496.35,48731
21-07-2017 15:05,2481.4,2482,2479.95,2482,24717
21-07-2017 15:00,2481,2482.95,2478.25,2481.25,26914
21-07-2017 14:55,2479.2,2481.85,2477,2480.45,13099
21-07-2017 14:50,2479.85,2481.95,2479,2479.2,5535
21-07-2017 14:45,2481.7,2482,2479.15,2479.85,11194
21-07-2017 14:40,2481.5,2482.35,2480.25,2481.55,10366
21-07-2017 14:35,2478.95,2482.5,2477,2481.5,15423
21-07-2017 14:30,2475,2480,2474.8,2478.95,22162
21-07-2017 14:25,2474.1,2480,2473.55,2475.4,19820
21-07-2017 14:20,2473.45,2475,2473,2474.1,18431
21-07-2017 14:15,2468.8,2474.9,2468.8,2473.15,8489
21-07-2017 14:10,2471.1,2472.5,2467,2468.8,16141
21-07-2017 14:05,2472.95,2473.4,2469.45,2470.65,4621
21-07-2017 14:00,2474.75,2474.75,2472.15,2472.95,3890
21-07-2017 13:55,2467.8,2475,2467.8,2474.75,4541
21-07-2017 13:50,2465.8,2468.5,2465,2467.8,6100
21-07-2017 13:45,2468.1,2468.25,2465,2465.8,6743
21-07-2017 13:40,2467.25,2469.15,2467.05,2468.1,7761
21-07-2017 13:35,2464.8,2468.95,2464.3,2467.05,8580
21-07-2017 13:30,2463.35,2464.85,2463.35,2464.8,4243
21-07-2017 13:25,2465.6,2465.6,2462.05,2463.35,6200
21-07-2017 13:20,2463.75,2467.95,2463.55,2465.1,4481
21-07-2017 13:15,2466,2466.85,2463,2463.75,5827
21-07-2017 13:10,2465.95,2471.45,2465.5,2465.9,8572
21-07-2017 13:05,2465.75,2467.45,2462.35,2465.95,19354
21-07-2017 13:00,2473.45,2475,2464.1,2466.45,18894
21-07-2017 12:55,2473.25,2475,2472.05,2473.45,12125
21-07-2017 12:50,2473.95,2474,2471.7,2473.25,14518
21-07-2017 12:45,2475.25,2475.3,2473.1,2473.95,5933
21-07-2017 12:40,2475.75,2475.85,2474,2475.25,4599
21-07-2017 12:35,2476.05,2476.2,2474.1,2475.75,4748
21-07-2017 12:30,2476.3,2478,2475,2476.05,9114
21-07-2017 12:25,2477.95,2478.45,2476.1,2476.3,4052
21-07-2017 12:20,2475.6,2479.65,2474.45,2477.05,8913
21-07-2017 12:15,2476.3,2476.3,2474.05,2475.6,6519
21-07-2017 12:10,2476.35,2479,2475.65,2476,5121
21-07-2017 12:05,2476.9,2477,2474.55,2476.5,6858
21-07-2017 12:00,2477.4,2477.5,2475.5,2476.95,4528
21-07-2017 11:55,2475.1,2477.65,2474.8,2477.45,5639
21-07-2017 11:50,2479,2479.55,2473.9,2475.1,11267
21-07-2017 11:45,2482.4,2482.45,2479,2479,8679
21-07-2017 11:40,2484.95,2485,2480.9,2482.4,9157
21-07-2017 11:35,2480,2486.85,2480,2484.95,28609
21-07-2017 11:30,2476.75,2480,2475.15,2479.95,8399
21-07-2017 11:25,2474.8,2476.75,2473.65,2476.75,3973
21-07-2017 11:20,2474.3,2475,2473,2474.8,14865
21-07-2017 11:15,2474.2,2475,2473.95,2474.3,3630
21-07-2017 11:10,2475,2475.1,2473.7,2475,3624
21-07-2017 11:05,2475.05,2475.65,2474.25,2475,4431
21-07-2017 11:00,2473,2475.7,2472.05,2475,57321
21-07-2017 10:55,2475,2475,2473,2473,6837
21-07-2017 10:50,2470.95,2474.95,2468,2474.95,59343
21-07-2017 10:45,2475.55,2477,2470.95,2470.95,9408
21-07-2017 10:40,2474.95,2480,2474.05,2475.55,37509
21-07-2017 10:35,2456.9,2475.95,2456.2,2474.7,60776
21-07-2017 10:30,2455.95,2456.9,2455,2456.9,2459
21-07-2017 10:25,2455.15,2456.7,2455,2456,2661
21-07-2017 10:20,2454.8,2457.5,2453.4,2455.8,11579
21-07-2017 10:15,2456.15,2456.45,2453.95,2454.8,3815
21-07-2017 10:10,2456.75,2456.9,2453.5,2456.15,5660
21-07-2017 10:05,2455,2457,2454.95,2456.75,3321
21-07-2017 10:00,2453.9,2456,2453.9,2455,7228
21-07-2017 09:55,2454.7,2455,2453.5,2453.9,1757
21-07-2017 09:50,2454.5,2455.9,2453.25,2454.7,6288
21-07-2017 09:45,2451.55,2455,2451.55,2454.5,5334
21-07-2017 09:40,2451.65,2453.75,2450,2451.55,7639
21-07-2017 09:35,2453.4,2454.15,2450.2,2451.65,9983
21-07-2017 09:30,2456.9,2458.2,2453.4,2453.4,11141
21-07-2017 09:25,2453.15,2456.9,2452.7,2456.9,18332
21-07-2017 09:20,2447.85,2458.65,2447.85,2453,54125
21-07-2017 09:15,2435.9,2450.5,2435.9,2447.9,52920
20-07-2017 15:25,2444.2,2444.2,2437,2437,11313
20-07-2017 15:20,2446.8,2448.9,2443.05,2444.2,15726
20-07-2017 15:15,2445.75,2448,2442.55,2448,18621
20-07-2017 15:10,2445.75,2446,2443,2444.55,14797
20-07-2017 15:05,2446.6,2447.85,2443.55,2445.75,20727
20-07-2017 15:00,2449.3,2449.3,2446.15,2446.6,15665
20-07-2017 14:55,2452.8,2453,2448.35,2449.4,5964
20-07-2017 14:50,2453.25,2453.3,2450.5,2453,5267
20-07-2017 14:45,2453,2454.4,2450.4,2453.25,6052
20-07-2017 14:40,2450,2454,2447.25,2453,5729
20-07-2017 14:35,2452,2452.45,2447,2449.85,5267
20-07-2017 14:30,2450.75,2453,2446.5,2452,5453
20-07-2017 14:25,2452.15,2453.05,2446.45,2450.7,6592
20-07-2017 14:20,2454.15,2454.85,2451,2452.15,8905
20-07-2017 14:15,2445.35,2456.8,2445.05,2454.15,19764
20-07-2017 14:10,2446,2449,2444.25,2445.35,6319
20-07-2017 14:05,2444.05,2446.95,2442.9,2446,7018
20-07-2017 14:00,2441.7,2443.5,2441.55,2443.5,2589
20-07-2017 13:55,2444.45,2444.45,2441.5,2441.7,4283
20-07-2017 13:50,2445,2447.4,2440.05,2444.45,7976
20-07-2017 13:45,2443,2449,2443,2445,10730
20-07-2017 13:40,2442.35,2444.1,2439.1,2442.85,4770
20-07-2017 13:35,2441,2449,2441,2442.4,9363
20-07-2017 13:30,2439,2441.9,2438.2,2441,11140
20-07-2017 13:25,2438.45,2439,2437.5,2439,3579
20-07-2017 13:20,2435.35,2442.65,2435.35,2438.45,9540
20-07-2017 13:15,2434.95,2436.25,2434.5,2435.35,2638
20-07-2017 13:10,2435,2436,2434,2434.95,3420
20-07-2017 13:05,2434.1,2435.5,2434,2435,2679
20-07-2017 13:00,2434.95,2436,2434,2434.1,1558
20-07-2017 12:55,2434.1,2436,2433,2434.95,6245
20-07-2017 12:50,2432.5,2436,2432.5,2434.1,3251
20-07-2017 12:45,2433.4,2436.05,2432.5,2433.5,3288
20-07-2017 12:40,2432.6,2435.9,2431.55,2433.4,9668
20-07-2017 12:35,2432.5,2433.1,2430.5,2432.6,5603
20-07-2017 12:30,2435.9,2436.95,2431,2432.5,6986
20-07-2017 12:25,2438.35,2438.35,2435.15,2435.9,3578
20-07-2017 12:20,2436.95,2438.5,2436,2437.8,3990
20-07-2017 12:15,2436.5,2438.55,2436.05,2436.95,4208
20-07-2017 12:10,2436.6,2438.75,2436.35,2436.8,3799
