Date,KOTAKBANK-EQ O,KOTAKBANK-EQ H,KOTAKBANK-EQ L,KOTAKBANK-EQ C,KOTAKBANK-EQ V
21-07-2017 15:25,1000,1002.5,999.2,1002.5,84531
21-07-2017 15:20,1000.6,1001.55,999.55,999.65,140680
21-07-2017 15:15,1000.05,1001.2,999,1000.6,124856
21-07-2017 15:10,997.95,1000.35,996.15,999.65,137293
21-07-2017 15:05,997.2,998.6,996.55,997.95,75548
21-07-2017 15:00,995.2,998,995.2,997.05,68414
21-07-2017 14:55,992.2,997.1,991.15,995.05,41670
21-07-2017 14:50,993.1,993.25,989.7,991.65,53834
21-07-2017 14:45,995.65,995.95,993.05,993.1,39910
21-07-2017 14:40,995.8,996.2,994.5,995,35362
21-07-2017 14:35,995,996.7,994.15,995.8,33396
21-07-2017 14:30,994.4,997.1,993.85,995,92787
21-07-2017 14:25,991.5,994.65,991,994.3,66629
21-07-2017 14:20,989,992.4,989,991.1,75940
21-07-2017 14:15,985.85,989,985.85,989,16200
21-07-2017 14:10,986.3,986.7,985,985.85,8996
21-07-2017 14:05,986.8,987.95,986.05,986.2,7965
21-07-2017 14:00,985.75,987.5,985.75,986.8,8099
21-07-2017 13:55,986.15,986.15,985.3,985.75,12663
21-07-2017 13:50,986.35,987,986,986.1,8016
21-07-2017 13:45,986.95,987,985.6,986.35,8188
21-07-2017 13:40,984.3,987,984.05,986.8,19693
21-07-2017 13:35,983.6,985,983.6,984.4,8866
21-07-2017 13:30,982.75,983.6,982.4,983.6,4316
21-07-2017 13:25,983.05,984.2,982.55,982.75,5957
21-07-2017 13:20,983.45,983.85,981.95,983.05,7081
21-07-2017 13:15,983.95,984.2,982.75,983.45,11159
21-07-2017 13:10,983.7,984.55,983.15,983.95,8648
21-07-2017 13:05,986.5,986.5,981.7,983.7,26879
21-07-2017 13:00,982.45,987,981.55,986.4,18615
21-07-2017 12:55,985,985,982,982.45,18399
21-07-2017 12:50,985.5,986.25,985,985,7661
21-07-2017 12:45,985.5,987.65,985,985.5,14698
21-07-2017 12:40,983.55,989.25,983.5,985.5,65114
21-07-2017 12:35,984.3,984.5,983.4,983.55,9049
21-07-2017 12:30,982.8,984.5,982.55,984.3,12964
21-07-2017 12:25,982.95,982.95,981.85,982.8,6782
21-07-2017 12:20,982.8,983,982.35,982.95,5782
21-07-2017 12:15,983.85,983.95,981.55,982.5,9009
21-07-2017 12:10,982.95,984.1,982.45,983.75,14318
21-07-2017 12:05,982.5,984.45,982.35,982.95,35864
21-07-2017 12:00,980.6,983.9,980.15,982.55,36726
21-07-2017 11:55,980.65,981.6,980.65,980.7,8618
21-07-2017 11:50,980.25,981.6,980,980.65,6048
21-07-2017 11:45,980.1,981.2,979.6,980.25,7964
21-07-2017 11:40,979.75,980.3,979.3,980.1,13291
21-07-2017 11:35,979.6,980,979.5,979.75,5392
21-07-2017 11:30,979.6,980,979.5,979.6,5761
21-07-2017 11:25,980.05,980.35,979.05,979.6,8794
21-07-2017 11:20,982.25,982.9,980,980.05,10862
21-07-2017 11:15,980,982.55,979.4,982.25,13370
21-07-2017 11:10,980,980.85,976.1,980,27487
21-07-2017 11:05,982.35,982.75,979.65,980,19560
21-07-2017 11:00,982.25,982.5,981.55,982.35,23362
21-07-2017 10:55,981.4,982.25,981,982.15,24941
21-07-2017 10:50,980.6,981.5,980.25,981.4,20633
21-07-2017 10:45,979.2,981,979,980.4,41827
21-07-2017 10:40,978.75,980.6,978.55,979.2,34834
21-07-2017 10:35,978.5,979,978.25,978.75,6587
21-07-2017 10:30,976.65,978.95,976.45,978.5,6035
21-07-2017 10:25,977.8,977.8,975.5,976.95,6171
21-07-2017 10:20,979.25,979.45,977.2,977.8,6364
21-07-2017 10:15,979.3,979.75,978.85,979.25,10299
21-07-2017 10:10,979,979.8,979,979.3,11377
21-07-2017 10:05,977.55,978.8,976.6,978.8,17051
21-07-2017 10:00,978.55,978.65,977.55,977.55,5615
21-07-2017 09:55,976,978.65,975.35,978.35,9017
21-07-2017 09:50,979.1,979.5,975.45,976,9306
21-07-2017 09:45,977,979.75,976.9,979.1,25051
21-07-2017 09:40,974.2,977.2,974.2,976.8,16678
21-07-2017 09:35,974.35,974.9,972,974.2,16081
21-07-2017 09:30,974.65,975,970.4,973.9,22857
21-07-2017 09:25,974.4,975.7,973.7,974.75,47009
21-07-2017 09:20,977.05,977.65,971.95,974.15,70229
21-07-2017 09:15,984.9,984.9,977.05,977.05,52679
20-07-2017 15:25,980,981.5,978.25,979.45,78262
20-07-2017 15:20,980.2,981.2,980,980.55,93749
20-07-2017 15:15,980.2,980.95,979.5,980.3,90795
20-07-2017 15:10,979.05,981,979.05,980.2,51144
20-07-2017 15:05,979.25,980,977.6,979.05,75903
20-07-2017 15:00,980.2,980.35,979.25,979.25,43506
20-07-2017 14:55,982,982.45,980,980.2,50729
20-07-2017 14:50,978.2,982.45,978.2,981.75,58646
20-07-2017 14:45,977.3,978.6,976.35,978.2,39350
20-07-2017 14:40,979.6,979.85,975.6,977.85,74651
20-07-2017 14:35,979.85,980.55,979.25,979.25,19967
20-07-2017 14:30,981.05,981.15,978.5,979.85,52363
20-07-2017 14:25,981.55,982,981,981.05,35014
20-07-2017 14:20,981.75,982.5,980.5,981.8,33108
