Date,MARUTI-EQ O,MARUTI-EQ H,MARUTI-EQ L,MARUTI-EQ C,MARUTI-EQ V
21-07-2017 15:25,7540,7540,7525,7529,10268
21-07-2017 15:20,7541.5,7542.4,7535,7540,13585
21-07-2017 15:15,7544.95,7548.55,7540.05,7541.5,14947
21-07-2017 15:10,7548.4,7549,7544.25,7544.95,16906
21-07-2017 15:05,7543.15,7549.9,7542.35,7548.4,11380
21-07-2017 15:00,7537.85,7548.85,7535.95,7543.15,14691
21-07-2017 14:55,7532.1,7539,7532.1,7537.75,4673
21-07-2017 14:50,7530,7540,7529.7,7532.25,6300
21-07-2017 14:45,7531.95,7535,7526.5,7529.2,5864
21-07-2017 14:40,7530.35,7532,7524.5,7531.95,4865
21-07-2017 14:35,7521.9,7535,7521.4,7530.35,7851
21-07-2017 14:30,7519,7521.9,7513.05,7521.9,6708
21-07-2017 14:25,7519.9,7520,7515.05,7519,2959
21-07-2017 14:20,7519.45,7520,7511.1,7519.85,2899
21-07-2017 14:15,7513.3,7520,7510.05,7516.95,5414
21-07-2017 14:10,7508.5,7514.85,7505,7513.3,2902
21-07-2017 14:05,7517.95,7520,7506.1,7508.5,4505
21-07-2017 14:00,7520,7520,7513.5,7517.55,3948
21-07-2017 13:55,7503,7519.9,7502,7519.9,5112
21-07-2017 13:50,7498.05,7506.3,7496.05,7503,3855
21-07-2017 13:45,7496.95,7500,7495,7499.75,2550
21-07-2017 13:40,7495.4,7502,7490.1,7496.95,4055
21-07-2017 13:35,7483.6,7497.85,7483.6,7495.4,3870
21-07-2017 13:30,7483,7487.8,7475.35,7483.6,4197
21-07-2017 13:25,7490.05,7494.1,7480,7483,4602
21-07-2017 13:20,7497.1,7500.55,7487.55,7487.55,3681
21-07-2017 13:15,7501,7507,7496.5,7499.15,4516
21-07-2017 13:10,7491.95,7502,7490,7501,5685
21-07-2017 13:05,7483.75,7495.45,7480,7491.95,4778
21-07-2017 13:00,7481.35,7489.9,7480,7483.75,4806
21-07-2017 12:55,7500,7503.95,7480.4,7481.35,5735
21-07-2017 12:50,7509.4,7510.9,7500,7500,4418
21-07-2017 12:45,7517,7517.75,7502.6,7509.95,7308
21-07-2017 12:40,7516.5,7522.35,7515.7,7517.05,3725
21-07-2017 12:35,7524.8,7525.95,7515.05,7516.05,5558
21-07-2017 12:30,7524.65,7525.35,7520,7524.75,6626
21-07-2017 12:25,7520.05,7525.9,7519.2,7524.65,6897
21-07-2017 12:20,7521.45,7528.5,7519.6,7521.05,5083
21-07-2017 12:15,7521.5,7529,7520.1,7521.45,4940
21-07-2017 12:10,7519.95,7526.4,7518.05,7521.5,4475
21-07-2017 12:05,7519.7,7522,7515,7520,8020
21-07-2017 12:00,7520,7521.7,7515.25,7519.7,8660
21-07-2017 11:55,7520,7524,7519.05,7520,3887
21-07-2017 11:50,7520,7523.45,7519.05,7523.45,3679
21-07-2017 11:45,7521,7524.05,7519.85,7520,4589
21-07-2017 11:40,7520,7524,7520,7520.85,3151
21-07-2017 11:35,7520.5,7523.55,7520,7520,3131
21-07-2017 11:30,7523.4,7523.9,7520,7520.5,3243
21-07-2017 11:25,7522.7,7524,7519.4,7523.4,3332
21-07-2017 11:20,7521.15,7523,7514.6,7522.25,3635
21-07-2017 11:15,7518,7522.7,7515.25,7521.15,2988
21-07-2017 11:10,7514.8,7523,7514.4,7518,3184
21-07-2017 11:05,7520.2,7522,7513.45,7519.9,4762
21-07-2017 11:00,7527.6,7527.6,7516.1,7520,4209
21-07-2017 10:55,7520.95,7534,7520.95,7527.6,8387
21-07-2017 10:50,7507.9,7520.95,7507.9,7520.95,7930
21-07-2017 10:45,7501.05,7512.95,7496,7507.9,6697
21-07-2017 10:40,7498.5,7509.95,7494,7501.05,8907
21-07-2017 10:35,7488.95,7504,7485.1,7498.5,11090
21-07-2017 10:30,7479.45,7489,7475.9,7487.3,4465
21-07-2017 10:25,7476.2,7486,7472,7479.45,4925
21-07-2017 10:20,7472.4,7481,7468.8,7479.85,3264
21-07-2017 10:15,7476.05,7478.85,7466.6,7472.4,4494
21-07-2017 10:10,7475.05,7477.45,7474,7476.2,3777
21-07-2017 10:05,7475,7478,7474,7475.05,3556
21-07-2017 10:00,7465.25,7477.95,7465.25,7475.8,7109
21-07-2017 09:55,7462.1,7465.95,7462.1,7465.25,4932
21-07-2017 09:50,7460,7466,7456.05,7462.45,3822
21-07-2017 09:45,7453.15,7464.15,7451,7460,5756
21-07-2017 09:40,7445,7454.7,7445,7453.15,3667
21-07-2017 09:35,7464,7469.55,7445,7445,8759
21-07-2017 09:30,7456.65,7468,7453.1,7464,4330
