Date,ONGC-EQ O,ONGC-EQ H,ONGC-EQ L,ONGC-EQ C,ONGC-EQ V
21-07-2017 15:25,164.6,164.65,164.25,164.45,275224
21-07-2017 15:20,164.3,164.65,164.25,164.55,335152
21-07-2017 15:15,164.55,164.6,164.05,164.3,284067
21-07-2017 15:10,164.1,164.6,164,164.55,250799
21-07-2017 15:05,164.2,164.3,164,164.1,161467
21-07-2017 15:00,164.45,164.45,164.1,164.2,145077
21-07-2017 14:55,164.4,164.55,164.05,164.45,146184
21-07-2017 14:50,164.65,164.65,164.3,164.4,36963
21-07-2017 14:45,164.65,164.8,164.6,164.65,128794
21-07-2017 14:40,164.65,164.75,164.6,164.65,34116
21-07-2017 14:35,164.6,164.8,164.5,164.65,35932
21-07-2017 14:30,164.55,164.7,164.45,164.55,42155
21-07-2017 14:25,164.3,164.55,164.05,164.55,57056
21-07-2017 14:20,164.25,164.35,164.05,164.3,24997
21-07-2017 14:15,164,164.2,163.8,164.15,28912
21-07-2017 14:10,164.1,164.1,163.8,164,25974
21-07-2017 14:05,164.2,164.25,164,164.1,23322
21-07-2017 14:00,164.55,164.65,164.15,164.2,41710
21-07-2017 13:55,164.2,164.65,164.05,164.55,53715
21-07-2017 13:50,164.1,164.25,164.05,164.05,49613
21-07-2017 13:45,164.15,164.3,164.1,164.1,20970
21-07-2017 13:40,164,164.45,164,164.2,33622
21-07-2017 13:35,163.75,164.25,163.7,164,41648
21-07-2017 13:30,163.9,163.9,163.7,163.75,22528
21-07-2017 13:25,163.9,164,163.75,163.9,25464
21-07-2017 13:20,164.1,164.1,163.6,163.9,98228
21-07-2017 13:15,164.25,164.25,164.05,164.1,32849
21-07-2017 13:10,164.55,164.55,164.2,164.25,113240
21-07-2017 13:05,164.15,164.55,164.1,164.55,162192
21-07-2017 13:00,164.85,164.85,164,164.1,325361
21-07-2017 12:55,164.85,164.85,164.75,164.8,42181
21-07-2017 12:50,165.15,165.15,164.8,164.85,40393
21-07-2017 12:45,165,165.25,165,165.15,26763
21-07-2017 12:40,165.35,165.4,165,165,88213
21-07-2017 12:35,165.25,165.4,165.25,165.3,60861
21-07-2017 12:30,165.2,165.35,165.15,165.25,104210
21-07-2017 12:25,165,165.25,164.95,165.2,81735
21-07-2017 12:20,164.9,165.1,164.8,165.1,59518
21-07-2017 12:15,164.9,165,164.75,164.9,52421
21-07-2017 12:10,164.9,164.95,164.4,164.9,127193
21-07-2017 12:05,165.35,165.4,164.7,164.9,96691
21-07-2017 12:00,165.25,165.45,165,165.35,87651
21-07-2017 11:55,165.25,165.3,164.85,165.25,233129
21-07-2017 11:50,165.85,165.85,165.1,165.25,78227
21-07-2017 11:45,165.5,165.85,165.35,165.85,108426
21-07-2017 11:40,165.5,165.55,165.5,165.5,27400
21-07-2017 11:35,165.55,165.55,165.5,165.5,22200
21-07-2017 11:30,165.5,165.55,165.5,165.55,23927
21-07-2017 11:25,165.65,165.65,165.5,165.5,34347
