Date,RELIANCE-EQ O,RELIANCE-EQ H,RELIANCE-EQ L,RELIANCE-EQ C,RELIANCE-EQ V
21-07-2017 15:25,1583.95,1585,1583,1584,207858
21-07-2017 15:20,1584.65,1585,1583.15,1584,246560
21-07-2017 15:15,1584.8,1587,1582.85,1584.25,351945
21-07-2017 15:10,1585.65,1586,1584.25,1585.1,195420
21-07-2017 15:05,1586.9,1587,1584.1,1585.85,148334
21-07-2017 15:00,1587.7,1588.95,1585.1,1586.2,162778
21-07-2017 14:55,1586.9,1589,1582.9,1587.5,243027
21-07-2017 14:50,1586.9,1590.7,1585.7,1586.6,294485
21-07-2017 14:45,1582.5,1591.7,1582.35,1586.65,527995
21-07-2017 14:40,1581.35,1584.2,1581.35,1582.5,173483
21-07-2017 14:35,1578.8,1587.6,1578.2,1581.2,709700
21-07-2017 14:30,1576,1579.25,1576,1578.8,198805
21-07-2017 14:25,1575.5,1576.9,1574.65,1576.05,81116
21-07-2017 14:20,1576.6,1577,1573.6,1575.5,89362
21-07-2017 14:15,1574.3,1577,1574.1,1576.75,124019
21-07-2017 14:10,1574.55,1574.9,1572.85,1574.1,71268
21-07-2017 14:05,1575.6,1576,1574.05,1574.05,62665
21-07-2017 14:00,1576.4,1577,1574.35,1575.6,111588
21-07-2017 13:55,1574,1576.95,1573.05,1576.4,108047
21-07-2017 13:50,1574.5,1574.95,1573.95,1574,54430
21-07-2017 13:45,1574.6,1576.95,1573.95,1574.5,173101
21-07-2017 13:40,1572.4,1574.6,1572.2,1574.6,61597
21-07-2017 13:35,1571.6,1575,1571.05,1572.15,151952
21-07-2017 13:30,1573.35,1574.1,1570.4,1571.6,96364
21-07-2017 13:25,1570.85,1574,1570.65,1573.45,140265
21-07-2017 13:20,1570,1571.45,1568.05,1570.8,89581
21-07-2017 13:15,1568.9,1573,1567.4,1570,182078
21-07-2017 13:10,1569.55,1570,1568.4,1568.5,92034
21-07-2017 13:05,1566.4,1571.5,1563.9,1568.8,206492
21-07-2017 13:00,1566.65,1570,1563.35,1567,238499
21-07-2017 12:55,1569.65,1571.35,1565.2,1566.65,260854
21-07-2017 12:50,1575.5,1576,1568.05,1569.45,251515
21-07-2017 12:45,1573,1577.75,1573,1575.2,252869
